arm,v2x_enabled,v2v_enabled,map,weather,seed,penetration,n_vehicles,n_cavs,n_walkers,duration_s,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian,hdv_hit_pedestrian,coll_attentive,coll_distracted,coll_aggressive_hostile,coll_ai_realistic,frozen_vehicle_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,v2v_received_total,v2v_deliveries_emitted,publishes_emitted,publishes_dropped,cbr_mean,dead_cav_count,decode_errors,wall_seconds,wall_to_sim_ratio,status
combined,True,True,Town01,ClearNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.3,0.626,ok
combined,True,True,Town01,ClearNoon,1,0.5,60,30,44,90.0,13,10,3,24,7,6,0,0,0,2,2,6,3,23,41126,2475,883,627,19,414,145138,145143,2700,0,0.1764,8,0,74.8,0.831,ok
combined,True,True,Town01,ClearNoon,1,0.9,60,54,44,90.0,8,6,2,15,6,2,0,0,0,1,0,1,6,14,79467,5494,2007,750,51,820,416951,416980,2700,0,0.3285,9,0,107.0,1.189,ok
combined,True,True,Town01,ClearNoon,1,1.0,60,60,44,90.0,7,5,2,12,7,0,0,0,0,0,0,0,7,12,86037,6488,2128,572,68,909,523449,523477,2700,0,0.3439,12,0,116.3,1.293,ok
combined,True,True,Town01,HardRainNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.9,0.632,ok
combined,True,True,Town01,HardRainNoon,1,0.5,60,30,44,90.0,12,9,3,22,6,6,0,0,0,2,2,5,3,21,42040,2507,790,413,35,256,148724,148734,2700,0,0.1793,7,0,74.8,0.831,ok
combined,True,True,Town01,HardRainNoon,1,0.9,60,54,44,90.0,9,7,2,16,7,2,0,0,0,1,0,1,7,16,75880,5915,1698,656,53,721,420462,420509,2700,0,0.3217,11,0,120.8,1.342,ok
combined,True,True,Town01,HardRainNoon,1,1.0,60,60,44,90.0,7,5,2,11,7,0,0,0,0,0,0,0,7,11,84712,7672,2466,705,70,1338,511162,511200,2700,0,0.3576,11,0,123.9,1.377,ok
combined,True,True,Town05,ClearNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.3,0.625,ok
combined,True,True,Town05,ClearNoon,1,0.5,60,30,43,90.0,8,7,1,14,4,4,0,0,0,0,0,7,1,15,48639,1810,424,153,21,0,208395,208433,2700,0,0.1832,5,0,77.0,0.856,ok
combined,True,True,Town05,ClearNoon,1,0.9,60,54,43,90.0,6,6,0,11,5,1,0,0,0,1,0,0,5,12,84373,2952,928,645,30,207,601844,601916,2700,0,0.3112,8,0,128.2,1.424,ok
combined,True,True,Town05,ClearNoon,1,1.0,60,60,43,90.0,1,1,0,2,1,0,0,0,0,0,0,0,1,2,102025,3233,618,698,33,104,817209,817229,2700,0,0.3747,2,0,153.7,1.708,ok
combined,True,True,Town05,HardRainNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,62.3,0.692,ok
combined,True,True,Town05,HardRainNoon,1,0.5,60,30,43,90.0,9,7,2,16,4,5,1,0,1,2,0,5,2,15,49603,1119,349,539,17,8,234516,234535,2700,0,0.1898,4,0,89.1,0.989,ok
combined,True,True,Town05,HardRainNoon,1,0.9,60,54,43,90.0,2,2,0,4,1,1,0,0,0,1,0,0,1,4,91456,2246,694,1093,24,223,703059,703081,2700,0,0.3313,1,0,138.9,1.543,ok
combined,True,True,Town05,HardRainNoon,1,1.0,60,60,43,90.0,2,2,0,4,2,0,0,0,0,0,0,0,2,4,99253,3758,966,959,44,126,792615,792655,2700,0,0.3648,4,0,151.5,1.683,ok
combined,True,True,Town10HD_Opt,ClearNoon,1,0.0,60,0,59,90.0,24,16,8,46,0,24,1,0,1,5,8,11,0,39,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,64.0,0.712,ok
combined,True,True,Town10HD_Opt,ClearNoon,1,0.5,60,30,59,90.0,18,15,3,33,10,8,1,0,1,4,3,4,7,32,33567,3394,1282,1027,30,452,242250,242362,2700,0,0.1974,12,0,123.7,1.374,ok
combined,True,True,Town10HD_Opt,ClearNoon,1,0.9,60,54,59,90.0,12,12,0,20,11,1,0,0,0,0,0,2,10,22,68211,8400,2644,1140,66,664,853038,853283,2700,0,0.412,19,0,346.8,3.853,ok
combined,True,True,Town10HD_Opt,ClearNoon,1,1.0,60,60,59,90.0,10,9,1,17,10,0,0,0,0,0,0,0,10,18,77701,9653,2740,1191,51,1126,1129059,1129265,2700,0,0.4714,18,0,424.4,4.716,ok
combined,True,True,Town10HD_Opt,HardRainNoon,1,0.0,60,0,59,90.0,25,17,8,46,0,25,2,0,2,6,8,11,0,40,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,60.1,0.668,ok
combined,True,True,Town10HD_Opt,HardRainNoon,1,0.5,60,30,59,90.0,19,15,4,31,9,10,2,1,1,3,2,7,7,31,37246,4339,1143,396,35,177,263290,263362,2700,0,0.2233,11,0,139.8,1.553,ok
combined,True,True,Town10HD_Opt,HardRainNoon,1,0.9,60,54,59,90.0,8,5,3,13,7,1,0,0,0,0,0,1,7,13,73495,7577,2070,544,45,638,923929,923966,2700,0,0.4274,10,0,336.6,3.74,ok
combined,True,True,Town10HD_Opt,HardRainNoon,1,1.0,60,60,59,90.0,9,8,1,16,9,0,0,0,0,0,0,0,9,16,75765,9660,2734,930,45,599,1064481,1064646,2700,0,0.4345,16,0,361.6,4.017,ok
v2i_only,True,False,Town01,ClearNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,50.8,0.564,ok
v2i_only,True,False,Town01,ClearNoon,1,0.5,60,30,44,90.0,12,8,4,21,5,7,0,0,0,2,2,5,3,20,43065,2519,627,701,13,0,0,0,2700,0,0.0163,6,0,55.6,0.618,ok
