arm,v2x_enabled,v2v_enabled,map,weather,seed,penetration,n_vehicles,n_cavs,n_walkers,duration_s,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian,hdv_hit_pedestrian,coll_attentive,coll_distracted,coll_aggressive_hostile,coll_ai_realistic,frozen_vehicle_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,v2v_received_total,v2v_deliveries_emitted,publishes_emitted,publishes_dropped,cbr_mean,dead_cav_count,decode_errors,wall_seconds,wall_to_sim_ratio,status
combined,True,True,Town01,ClearNoon,0,0.0,60,0,45,90.0,24,19,5,42,0,24,1,0,1,5,10,9,0,40,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,48.9,0.543,ok
combined,True,True,Town01,ClearNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.3,0.626,ok
combined,True,True,Town01,ClearNoon,0,0.5,60,30,45,90.0,13,10,3,26,5,8,0,0,0,2,5,4,2,23,43839,1955,737,757,8,389,114241,114248,2700,0,0.1815,5,0,70.9,0.787,ok
combined,True,True,Town01,ClearNoon,1,0.5,60,30,44,90.0,13,10,3,24,7,6,0,0,0,2,2,6,3,23,41126,2475,883,627,19,414,145138,145143,2700,0,0.1764,8,0,74.8,0.831,ok
combined,True,True,Town01,ClearNoon,0,0.9,60,54,45,90.0,7,5,2,11,7,0,2,2,0,0,0,2,5,10,78496,6646,2077,1092,38,795,447658,447716,2700,0,0.3175,7,0,121.7,1.352,ok
combined,True,True,Town01,ClearNoon,1,0.9,60,54,44,90.0,8,6,2,15,6,2,0,0,0,1,0,1,6,14,79467,5494,2007,750,51,820,416951,416980,2700,0,0.3285,9,0,107.0,1.189,ok
combined,True,True,Town01,ClearNoon,0,1.0,60,60,45,90.0,5,5,0,9,5,0,1,1,0,0,0,0,5,8,89934,6933,2385,1076,63,1211,552943,552961,2700,0,0.3602,8,0,124.7,1.385,ok
combined,True,True,Town01,ClearNoon,1,1.0,60,60,44,90.0,7,5,2,12,7,0,0,0,0,0,0,0,7,12,86037,6488,2128,572,68,909,523449,523477,2700,0,0.3439,12,0,116.3,1.293,ok
combined,True,True,Town01,HardRainNoon,0,0.0,60,0,45,90.0,24,19,5,42,0,24,1,0,1,7,8,9,0,40,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,52.1,0.579,ok
combined,True,True,Town01,HardRainNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.9,0.632,ok
combined,True,True,Town01,HardRainNoon,0,0.5,60,30,45,90.0,17,14,3,33,7,10,0,0,0,3,5,5,4,31,42283,1928,573,624,25,227,109209,109240,2700,0,0.1716,9,0,70.1,0.779,ok
combined,True,True,Town01,HardRainNoon,1,0.5,60,30,44,90.0,12,9,3,22,6,6,0,0,0,2,2,5,3,21,42040,2507,790,413,35,256,148724,148734,2700,0,0.1793,7,0,74.8,0.831,ok
combined,True,True,Town01,HardRainNoon,0,0.9,60,54,45,90.0,8,7,1,13,8,0,2,2,0,0,0,2,6,13,78967,5681,1729,786,63,778,453584,453618,2700,0,0.3169,10,0,120.5,1.339,ok
combined,True,True,Town01,HardRainNoon,1,0.9,60,54,44,90.0,9,7,2,16,7,2,0,0,0,1,0,1,7,16,75880,5915,1698,656,53,721,420462,420509,2700,0,0.3217,11,0,120.8,1.342,ok
combined,True,True,Town01,HardRainNoon,0,1.0,60,60,45,90.0,5,4,1,8,5,0,1,1,0,0,0,0,5,8,91271,7327,2187,724,40,924,592482,592540,2700,0,0.3788,8,0,139.8,1.553,ok
combined,True,True,Town01,HardRainNoon,1,1.0,60,60,44,90.0,7,5,2,11,7,0,0,0,0,0,0,0,7,11,84712,7672,2466,705,70,1338,511162,511200,2700,0,0.3576,11,0,123.9,1.377,ok
combined,True,True,Town05,ClearNoon,0,0.0,60,0,40,90.0,13,11,2,23,0,13,1,0,1,8,4,1,0,23,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,52.8,0.586,ok
combined,True,True,Town05,ClearNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.3,0.625,ok
combined,True,True,Town05,ClearNoon,0,0.5,60,30,40,90.0,14,10,4,25,7,7,1,0,1,2,5,4,3,22,45443,927,375,251,9,37,199364,199402,2700,0,0.1734,6,0,86.3,0.959,ok
combined,True,True,Town05,ClearNoon,1,0.5,60,30,43,90.0,8,7,1,14,4,4,0,0,0,0,0,7,1,15,48639,1810,424,153,21,0,208395,208433,2700,0,0.1832,5,0,77.0,0.856,ok
combined,True,True,Town05,ClearNoon,0,0.9,60,54,40,90.0,4,4,0,6,4,0,1,1,0,0,0,1,3,7,86451,2742,595,978,33,42,675637,675735,2700,0,0.3162,6,0,159.2,1.769,ok
combined,True,True,Town05,ClearNoon,1,0.9,60,54,43,90.0,6,6,0,11,5,1,0,0,0,1,0,0,5,12,84373,2952,928,645,30,207,601844,601916,2700,0,0.3112,8,0,128.2,1.424,ok
combined,True,True,Town05,ClearNoon,0,1.0,60,60,40,90.0,2,2,0,3,2,0,0,0,0,0,0,0,2,4,98938,3916,724,1064,35,312,852932,852969,2700,0,0.3651,4,0,195.6,2.173,ok
combined,True,True,Town05,ClearNoon,1,1.0,60,60,43,90.0,1,1,0,2,1,0,0,0,0,0,0,0,1,2,102025,3233,618,698,33,104,817209,817229,2700,0,0.3747,2,0,153.7,1.708,ok
combined,True,True,Town05,HardRainNoon,0,0.0,60,0,40,90.0,13,11,2,23,0,13,1,0,1,8,4,1,0,23,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,56.6,0.628,ok
combined,True,True,Town05,HardRainNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,62.3,0.692,ok
combined,True,True,Town05,HardRainNoon,0,0.5,60,30,40,90.0,12,9,3,21,7,5,1,0,1,1,3,4,4,19,44416,899,301,664,9,40,190218,190261,2700,0,0.176,6,0,85.8,0.954,ok
combined,True,True,Town05,HardRainNoon,1,0.5,60,30,43,90.0,9,7,2,16,4,5,1,0,1,2,0,5,2,15,49603,1119,349,539,17,8,234516,234535,2700,0,0.1898,4,0,89.1,0.989,ok
combined,True,True,Town05,HardRainNoon,0,0.9,60,54,40,90.0,3,3,0,5,3,0,0,0,0,0,0,1,2,6,87280,2917,546,968,18,107,647059,647138,2700,0,0.3155,5,0,149.2,1.658,ok
combined,True,True,Town05,HardRainNoon,1,0.9,60,54,43,90.0,2,2,0,4,1,1,0,0,0,1,0,0,1,4,91456,2246,694,1093,24,223,703059,703081,2700,0,0.3313,1,0,138.9,1.543,ok
combined,True,True,Town05,HardRainNoon,0,1.0,60,60,40,90.0,2,2,0,3,2,0,0,0,0,0,0,0,2,4,98803,4152,1166,891,28,464,884253,884299,2700,0,0.376,4,0,200.9,2.233,ok
combined,True,True,Town05,HardRainNoon,1,1.0,60,60,43,90.0,2,2,0,4,2,0,0,0,0,0,0,0,2,4,99253,3758,966,959,44,126,792615,792655,2700,0,0.3648,4,0,151.5,1.683,ok
combined,True,True,Town10HD_Opt,ClearNoon,0,0.0,60,0,56,90.0,28,19,9,51,0,28,1,0,1,9,9,10,0,45,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,71.3,0.792,ok
combined,True,True,Town10HD_Opt,ClearNoon,1,0.0,60,0,59,90.0,24,16,8,46,0,24,1,0,1,5,8,11,0,39,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,64.0,0.712,ok
combined,True,True,Town10HD_Opt,ClearNoon,0,0.5,60,30,56,90.0,19,14,5,33,12,7,1,0,1,1,9,6,3,31,34346,3280,804,315,12,109,194648,194695,2700,0,0.2156,11,0,153.1,1.701,ok
combined,True,True,Town10HD_Opt,ClearNoon,1,0.5,60,30,59,90.0,18,15,3,33,10,8,1,0,1,4,3,4,7,32,33567,3394,1282,1027,30,452,242250,242362,2700,0,0.1974,12,0,123.7,1.374,ok
combined,True,True,Town10HD_Opt,ClearNoon,0,0.9,60,54,56,90.0,9,9,0,15,9,0,1,1,0,0,0,2,7,17,67782,7284,2211,1039,20,809,895108,895289,2700,0,0.3895,14,0,405.8,4.509,ok
combined,True,True,Town10HD_Opt,ClearNoon,1,0.9,60,54,59,90.0,12,12,0,20,11,1,0,0,0,0,0,2,10,22,68211,8400,2644,1140,66,664,853038,853283,2700,0,0.412,19,0,346.8,3.853,ok
combined,True,True,Town10HD_Opt,ClearNoon,0,1.0,60,60,56,90.0,11,7,4,16,11,0,1,1,0,0,0,0,11,16,72772,9091,2535,1291,55,857,903148,903207,2700,0,0.4453,16,0,432.6,4.807,ok
combined,True,True,Town10HD_Opt,ClearNoon,1,1.0,60,60,59,90.0,10,9,1,17,10,0,0,0,0,0,0,0,10,18,77701,9653,2740,1191,51,1126,1129059,1129265,2700,0,0.4714,18,0,424.4,4.716,ok
combined,True,True,Town10HD_Opt,HardRainNoon,0,0.0,60,0,56,90.0,28,19,9,51,0,28,1,0,1,7,9,12,0,45,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,57.8,0.642,ok
combined,True,True,Town10HD_Opt,HardRainNoon,1,0.0,60,0,59,90.0,25,17,8,46,0,25,2,0,2,6,8,11,0,40,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,60.1,0.668,ok
combined,True,True,Town10HD_Opt,HardRainNoon,0,0.5,60,30,56,90.0,22,13,9,40,13,9,0,0,0,2,9,6,5,34,34386,3920,741,367,8,51,203766,203810,2700,0,0.2262,12,0,137.0,1.523,ok
combined,True,True,Town10HD_Opt,HardRainNoon,1,0.5,60,30,59,90.0,19,15,4,31,9,10,2,1,1,3,2,7,7,31,37246,4339,1143,396,35,177,263290,263362,2700,0,0.2233,11,0,139.8,1.553,ok
combined,True,True,Town10HD_Opt,HardRainNoon,0,0.9,60,54,56,90.0,11,10,1,15,11,0,1,1,0,0,0,1,10,18,66851,8044,2067,841,45,674,794652,794828,2700,0,0.3994,15,0,334.2,3.713,ok
combined,True,True,Town10HD_Opt,HardRainNoon,1,0.9,60,54,59,90.0,8,5,3,13,7,1,0,0,0,0,0,1,7,13,73495,7577,2070,544,45,638,923929,923966,2700,0,0.4274,10,0,336.6,3.74,ok
combined,True,True,Town10HD_Opt,HardRainNoon,0,1.0,60,60,56,90.0,10,10,0,16,10,0,1,1,0,0,0,0,10,19,77049,9131,2060,565,37,517,984426,984539,2700,0,0.4673,19,0,420.3,4.67,ok
combined,True,True,Town10HD_Opt,HardRainNoon,1,1.0,60,60,59,90.0,9,8,1,16,9,0,0,0,0,0,0,0,9,16,75765,9660,2734,930,45,599,1064481,1064646,2700,0,0.4345,16,0,361.6,4.017,ok
v2i_only,True,False,Town01,ClearNoon,0,0.0,60,0,45,90.0,24,19,5,42,0,24,1,0,1,5,10,9,0,40,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,48.6,0.54,ok
v2i_only,True,False,Town01,ClearNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,50.8,0.564,ok
v2i_only,True,False,Town01,ClearNoon,0,0.5,60,30,45,90.0,16,11,5,30,7,9,1,0,1,1,6,7,2,26,42729,1848,249,1016,8,0,0,0,2700,0,0.0163,7,0,56.8,0.631,ok
v2i_only,True,False,Town01,ClearNoon,1,0.5,60,30,44,90.0,12,8,4,21,5,7,0,0,0,2,2,5,3,20,43065,2519,627,701,13,0,0,0,2700,0,0.0163,6,0,55.6,0.618,ok
v2i_only,True,False,Town01,ClearNoon,0,0.9,60,54,45,90.0,4,4,0,8,4,0,0,0,0,0,0,1,3,8,85537,4609,800,1133,33,0,0,0,2700,0,0.0163,5,0,64.4,0.716,ok
v2i_only,True,False,Town01,ClearNoon,1,0.9,60,54,44,90.0,9,7,2,17,7,2,0,0,0,1,0,2,6,16,78110,4949,977,679,21,0,0,0,2700,0,0.0163,11,0,62.9,0.699,ok
v2i_only,True,False,Town01,ClearNoon,0,1.0,60,60,45,90.0,7,4,3,10,7,0,0,0,0,0,0,0,7,9,92713,5584,1154,1170,59,0,0,0,2700,0,0.0163,9,0,65.7,0.73,ok
v2i_only,True,False,Town01,ClearNoon,1,1.0,60,60,44,90.0,7,5,2,12,7,0,0,0,0,0,0,0,7,12,87492,5626,1003,875,42,0,0,0,2700,0,0.0163,12,0,64.2,0.713,ok
v2i_only,True,False,Town01,HardRainNoon,0,0.0,60,0,45,90.0,24,19,5,42,0,24,1,0,1,5,10,9,0,40,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,53.0,0.589,ok
v2i_only,True,False,Town01,HardRainNoon,1,0.0,60,0,44,90.0,24,19,5,45,0,24,0,0,0,3,7,14,0,43,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,55.2,0.614,ok
v2i_only,True,False,Town01,HardRainNoon,0,0.5,60,30,45,90.0,15,10,5,29,7,8,0,0,0,2,5,4,4,25,41900,2040,315,656,17,0,0,0,2700,0,0.0163,7,0,58.0,0.644,ok
v2i_only,True,False,Town01,HardRainNoon,1,0.5,60,30,44,90.0,13,10,3,24,6,7,0,0,0,2,2,6,3,23,41986,2293,493,466,23,0,0,0,2700,0,0.0163,8,0,60.2,0.669,ok
v2i_only,True,False,Town01,HardRainNoon,0,0.9,60,54,45,90.0,6,4,2,11,6,0,0,0,0,0,0,1,5,10,84463,4209,1152,748,32,0,0,0,2700,0,0.0163,7,0,65.8,0.731,ok
v2i_only,True,False,Town01,HardRainNoon,1,0.9,60,54,44,90.0,9,7,2,17,7,2,0,0,0,1,0,1,7,16,76658,4783,872,951,14,0,0,0,2700,0,0.0163,11,0,67.2,0.746,ok
v2i_only,True,False,Town01,HardRainNoon,0,1.0,60,60,45,90.0,4,4,0,5,4,0,0,0,0,0,0,0,4,6,95937,5151,904,802,22,0,0,0,2700,0,0.0163,6,0,67.8,0.754,ok
v2i_only,True,False,Town01,HardRainNoon,1,1.0,60,60,44,90.0,7,5,2,13,7,0,0,0,0,0,0,0,7,12,85624,5639,1157,946,23,0,0,0,2700,0,0.0163,12,0,69.6,0.774,ok
v2i_only,True,False,Town05,ClearNoon,0,0.0,60,0,40,90.0,13,11,2,23,0,13,1,0,1,8,4,1,0,23,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,51.7,0.574,ok
v2i_only,True,False,Town05,ClearNoon,1,0.0,60,0,43,90.0,18,12,6,33,0,18,1,0,1,5,4,9,0,28,0,0,0,0,0,0,0,0,2700,0,0.0163,0,0,52.3,0.581,ok
v2i_only,True,False,Town05,ClearNoon,0,0.5,60,30,40,90.0,13,9,4,24,7,6,0,0,0,2,2,4,5,22,41435,1007,359,261,1,0,0,0,2700,0,0.0163,8,0,59.1,0.656,ok
v2i_only,True,False,Town05,ClearNoon,1,0.5,60,30,43,90.0,7,7,0,13,3,4,0,0,0,1,0,5,1,14,49689,1166,428,870,5,0,0,0,2700,0,0.0163,4,0,59.3,0.659,ok
v2i_only,True,False,Town05,ClearNoon,0,0.9,60,54,40,90.0,3,3,0,3,3,0,0,0,0,0,0,0,3,4,88235,2369,412,1066,16,0,0,0,2700,0,0.0163,4,0,78.1,0.868,ok
v2i_only,True,False,Town05,ClearNoon,1,0.9,60,54,43,90.0,5,5,0,10,5,0,0,0,0,0,0,0,5,10,88154,2154,679,1419,20,0,0,0,2700,0,0.0163,8,0,67.3,0.747,ok
v2i_only,True,False,Town05,ClearNoon,0,1.0,60,60,40,90.0,1,1,0,1,1,0,0,0,0,0,0,0,1,2,102628,2815,590,1789,10,0,0,0,2700,0,0.0163,2,0,84.6,0.94,ok
