arm,map,penetration,total_mean,primary_mean
combined,Town01,0.0,24,19
combined,Town01,0.5,13.75,10.75
combined,Town01,0.9,8,6.25
combined,Town01,1.0,6,4.75
combined,Town05,0.0,15.5,11.5
combined,Town05,0.5,10.75,8.25
combined,Town05,0.9,3.75,3.75
combined,Town05,1.0,1.75,1.75
combined,Town10HD_Opt,0.0,26.25,17.75
combined,Town10HD_Opt,0.5,19.5,14.25
combined,Town10HD_Opt,0.9,10,9
combined,Town10HD_Opt,1.0,10,8.5
v2i_only,Town01,0.0,24,19
v2i_only,Town01,0.5,14,9.75
v2i_only,Town01,0.9,7,5.5
v2i_only,Town01,1.0,6.25,4.5
v2i_only,Town05,0.0,15.5,11.5
v2i_only,Town05,0.5,9,7
v2i_only,Town05,0.9,4.5,4.5
v2i_only,Town05,1.0,1.75,1.75
v2i_only,Town10HD_Opt,0.0,26,17.5
v2i_only,Town10HD_Opt,0.5,20.5,14.25
v2i_only,Town10HD_Opt,0.9,12.25,10.25
v2i_only,Town10HD_Opt,1.0,10.25,8.75
v2v_only,Town01,0.0,24,19
v2v_only,Town01,0.5,15,11.5
v2v_only,Town01,0.9,10,8
v2v_only,Town01,1.0,7.5,5.5
v2v_only,Town05,0.0,15.5,11.5
v2v_only,Town05,0.5,9.5,8.5
v2v_only,Town05,0.9,3.5,3.5
v2v_only,Town05,1.0,3,2.5
v2v_only,Town10HD_Opt,0.0,26,17.5
v2v_only,Town10HD_Opt,0.5,21,13.5
v2v_only,Town10HD_Opt,0.9,11.5,11
v2v_only,Town10HD_Opt,1.0,9.5,9
