arm,penetration,n,total_mean,total_sd,primary_mean,primary_sd,cav_mean,hdv_mean,vru_mean,frozen_mean,coop_mean,v2v_recv_mean,wall_sim_mean
combined,0.0,12,21.92,4.96,16.08,3.38,0,21.92,0.92,36.42,0,0,0.644
combined,0.5,12,14.67,4.13,11.08,2.84,7.58,7.08,0.58,24.75,180,187813.0,1.095
combined,0.9,12,7.25,2.92,6.33,2.78,6.58,0.67,0.58,12.67,539.8,652748.0,2.286
combined,1.0,12,5.92,3.45,5,2.86,5.92,0,0.33,10.17,707.2,800680.0,2.635
v2i_only,0.0,12,21.83,4.91,16,3.37,0,21.83,0.83,36.33,0,0,0.623
v2i_only,0.5,12,14.5,5.47,10.33,3.2,7.83,6.67,0.42,24.25,0,0,0.7
v2i_only,0.9,12,7.92,3.95,6.75,3.19,7.25,0.67,0.33,13.92,0,0,0.833
v2i_only,1.0,12,6.08,3.68,5,3.0,6.08,0,0.33,10.17,0,0,0.876
v2v_only,0.0,12,21.83,4.91,16,3.37,0,21.83,0.83,36.33,0,0,0.2
v2v_only,0.5,12,15.17,4.74,11.17,2.41,7.5,7.67,0.5,25.5,63.2,185166.0,0.498
v2v_only,0.9,12,8.33,3.54,7.5,3.2,7.67,0.67,0.83,14.17,266.2,606127.0,1.417
v2v_only,1.0,12,6.67,2.87,5.67,2.92,6.67,0,0.5,11.17,294.3,775170.0,1.856
