arm,weather,penetration,total_mean,primary_mean
combined,ClearNoon,0.0,21.83,16
combined,ClearNoon,0.5,14.17,11
combined,ClearNoon,0.9,7.67,7
combined,ClearNoon,1.0,6,4.83
combined,HardRainNoon,0.0,22,16.17
combined,HardRainNoon,0.5,15.17,11.17
combined,HardRainNoon,0.9,6.83,5.67
combined,HardRainNoon,1.0,5.83,5.17
v2i_only,ClearNoon,0.0,21.83,16
v2i_only,ClearNoon,0.5,15.5,10.67
v2i_only,ClearNoon,0.9,7.83,7
v2i_only,ClearNoon,1.0,6.33,4.83
v2i_only,HardRainNoon,0.0,21.83,16
v2i_only,HardRainNoon,0.5,13.5,10
v2i_only,HardRainNoon,0.9,8,6.5
v2i_only,HardRainNoon,1.0,5.83,5.17
v2v_only,ClearNoon,0.0,21.83,16
v2v_only,ClearNoon,0.5,15.17,11.17
v2v_only,ClearNoon,0.9,8.33,7.5
v2v_only,ClearNoon,1.0,6.67,5.67
v2v_only,HardRainNoon,0.0,21.83,16
v2v_only,HardRainNoon,0.5,15.17,11.17
v2v_only,HardRainNoon,0.9,8.33,7.5
v2v_only,HardRainNoon,1.0,6.67,5.67
