penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,45,ClearNoon,Town01,90.0,48.89189314842224,0.5432432572046916,24,19,5,42,0,24,1,0,1,0,0,0,0,0,0,40,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,10,9
0.0,1,60,0,44,ClearNoon,Town01,90.0,56.3395574092865,0.6259950823254056,24,19,5,45,0,24,0,0,0,0,0,0,0,0,0,43,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,3,7,14
0.0,0,60,0,40,ClearNoon,Town05,90.0,52.780354022979736,0.5864483780331082,13,11,2,23,0,13,1,0,1,0,0,0,0,0,0,23,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,8,4,1
0.0,1,60,0,43,ClearNoon,Town05,90.0,56.26636028289795,0.6251817809210883,18,12,6,33,0,18,1,0,1,0,0,0,0,0,0,28,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,4,9
0.0,0,60,0,56,ClearNoon,Town10HD_Opt,90.0,71.2807104587555,0.7920078939861721,28,19,9,51,0,28,1,0,1,0,0,0,0,0,0,45,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,9,9,10
0.0,1,60,0,59,ClearNoon,Town10HD_Opt,90.0,64.03655982017517,0.7115173313352797,24,16,8,46,0,24,1,0,1,0,0,0,0,0,0,39,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,8,11
0.0,0,60,0,45,HardRainNoon,Town01,90.0,52.088720083236694,0.5787635564804077,24,19,5,42,0,24,1,0,1,0,0,0,0,0,0,40,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,7,8,9
0.0,1,60,0,44,HardRainNoon,Town01,90.0,56.923585653305054,0.6324842850367228,24,19,5,45,0,24,0,0,0,0,0,0,0,0,0,43,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,3,7,14
0.0,0,60,0,40,HardRainNoon,Town05,90.0,56.56048011779785,0.6284497790866428,13,11,2,23,0,13,1,0,1,0,0,0,0,0,0,23,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,8,4,1
0.0,1,60,0,43,HardRainNoon,Town05,90.0,62.25048112869263,0.6916720125410292,18,12,6,33,0,18,1,0,1,0,0,0,0,0,0,28,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,4,9
0.0,0,60,0,56,HardRainNoon,Town10HD_Opt,90.0,57.80683636665344,0.642298181851705,28,19,9,51,0,28,1,0,1,0,0,0,0,0,0,45,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,7,9,12
0.0,1,60,0,59,HardRainNoon,Town10HD_Opt,90.0,60.100194215774536,0.6677799357308282,25,17,8,46,0,25,2,0,2,0,0,0,0,0,0,40,True,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,6,8,11
0.5,0,60,30,45,ClearNoon,Town01,90.0,70.8535087108612,0.7872612078984579,13,10,3,26,5,8,0,0,0,43839,1955,737,757,8,389,23,True,23645,114248,114241,5,0,2700,0,0.1815166666666667,0.2015,2,5,4
0.5,1,60,30,44,ClearNoon,Town01,90.0,74.75282573699951,0.8305869526333279,13,10,3,24,7,6,0,0,0,41126,2475,883,627,19,414,23,True,22554,145143,145138,8,0,2700,0,0.1763722222222222,0.201,2,2,6
0.5,0,60,30,40,ClearNoon,Town05,90.0,86.33114957809448,0.9592349953121609,14,10,4,25,7,7,1,0,1,45443,927,375,251,9,37,22,True,23179,199402,199364,6,0,2700,0,0.17335,0.217,2,5,4
0.5,1,60,30,43,ClearNoon,Town05,90.0,77.02977466583252,0.8558863851759169,8,7,1,14,4,4,0,0,0,48639,1810,424,153,21,0,15,True,25359,208433,208395,5,0,2700,0,0.18323333333333336,0.214,0,0,7
0.5,0,60,30,56,ClearNoon,Town10HD_Opt,90.0,153.09107637405396,1.7010119597117106,19,14,5,33,12,7,1,0,1,34346,3280,804,315,12,109,31,True,19375,194695,194648,11,0,2700,0,0.2155611111111111,0.246,1,9,6
0.5,1,60,30,59,ClearNoon,Town10HD_Opt,90.0,123.65070056915283,1.373896672990587,18,15,3,33,10,8,1,0,1,33567,3394,1282,1027,30,452,32,True,19639,242362,242250,12,0,2700,0,0.1973666666666667,0.256,4,3,4
0.5,0,60,30,45,HardRainNoon,Town01,90.0,70.1116783618927,0.7790186484654744,17,14,3,33,7,10,0,0,0,42283,1928,573,624,25,227,31,True,22707,109240,109209,9,0,2700,0,0.17158888888888887,0.2015,3,5,5
0.5,1,60,30,44,HardRainNoon,Town01,90.0,74.82173013687134,0.8313525570763483,12,9,3,22,6,6,0,0,0,42040,2507,790,413,35,256,21,True,22876,148734,148724,7,0,2700,0,0.17926666666666666,0.2025,2,2,5
0.5,0,60,30,40,HardRainNoon,Town05,90.0,85.82524991035461,0.9536138878928291,12,9,3,21,7,5,1,0,1,44416,899,301,664,9,40,19,True,22834,190261,190218,6,0,2700,0,0.17598333333333332,0.217,1,3,4
0.5,1,60,30,43,HardRainNoon,Town05,90.0,89.05352640151978,0.989483626683553,9,7,2,16,4,5,1,0,1,49603,1119,349,539,17,8,15,True,25579,234535,234516,4,0,2700,0,0.18976666666666667,0.225,2,0,5
0.5,0,60,30,56,HardRainNoon,Town10HD_Opt,90.0,137.04498291015625,1.5227220323350694,22,13,9,40,13,9,0,0,0,34386,3920,741,367,8,51,34,True,19709,203810,203766,12,0,2700,0,0.22617777777777776,0.2575,2,9,6
0.5,1,60,30,59,HardRainNoon,Town10HD_Opt,90.0,139.78123831748962,1.5531248701943292,19,15,4,31,9,10,2,1,1,37246,4339,1143,396,35,177,31,True,21565,263362,263290,11,0,2700,0,0.2232611111111111,0.2725,3,2,7
0.9,0,60,54,45,ClearNoon,Town01,90.0,121.69588828086853,1.3521765364540947,7,5,2,11,7,0,2,2,0,78496,6646,2077,1092,38,795,10,True,44158,447716,447658,7,0,2700,0,0.3175166666666667,0.348,0,0,2
0.9,1,60,54,44,ClearNoon,Town01,90.0,107.0066077709198,1.1889623085657754,8,6,2,15,6,2,0,0,0,79467,5494,2007,750,51,820,14,True,43860,416980,416951,9,0,2700,0,0.32853888888888894,0.3665,1,0,1
0.9,0,60,54,40,ClearNoon,Town05,90.0,159.17702674865723,1.7686336305406358,4,4,0,6,4,0,1,1,0,86451,2742,595,978,33,42,7,True,45363,675735,675637,6,0,2700,0,0.31623888888888896,0.371,0,0,1
0.9,1,60,54,43,ClearNoon,Town05,90.0,128.188711643219,1.4243190182579888,6,6,0,11,5,1,0,0,0,84373,2952,928,645,30,207,12,True,44414,601916,601844,8,0,2700,0,0.3112,0.3605,1,0,0
0.9,0,60,54,56,ClearNoon,Town10HD_Opt,90.0,405.7747781276703,4.508608645863003,9,9,0,15,9,0,1,1,0,67782,7284,2211,1039,20,809,17,True,39162,895289,895108,14,0,2700,0,0.38954444444444447,0.4485,0,0,2
0.9,1,60,54,59,ClearNoon,Town10HD_Opt,90.0,346.7777554988861,3.8530861722098457,12,12,0,20,11,1,0,0,0,68211,8400,2644,1140,66,664,22,True,40202,853283,853038,19,0,2700,0,0.41201111111111116,0.482,0,0,2
0.9,0,60,54,45,HardRainNoon,Town01,90.0,120.4799075126648,1.3386656390296088,8,7,1,13,8,0,2,2,0,78967,5681,1729,786,63,778,13,True,43583,453618,453584,10,0,2700,0,0.31692222222222227,0.3575,0,0,2
0.9,1,60,54,44,HardRainNoon,Town01,90.0,120.763507604599,1.341816751162211,9,7,2,16,7,2,0,0,0,75880,5915,1698,656,53,721,16,True,42077,420509,420462,11,0,2700,0,0.32170000000000004,0.35,1,0,1
0.9,0,60,54,40,HardRainNoon,Town05,90.0,149.21347856521606,1.6579275396135118,3,3,0,5,3,0,0,0,0,87280,2917,546,968,18,107,6,True,45858,647138,647059,5,0,2700,0,0.31553333333333333,0.364,0,0,1
0.9,1,60,54,43,HardRainNoon,Town05,90.0,138.85230612754822,1.5428034014172025,2,2,0,4,1,1,0,0,0,91456,2246,694,1093,24,223,4,True,47703,703081,703059,1,0,2700,0,0.3312555555555555,0.356,1,0,0
0.9,0,60,54,56,HardRainNoon,Town10HD_Opt,90.0,334.1776475906372,3.7130849732293023,11,10,1,15,11,0,1,1,0,66851,8044,2067,841,45,674,18,True,38905,794828,794652,15,0,2700,0,0.39935000000000004,0.4765,0,0,1
0.9,1,60,54,59,HardRainNoon,Town10HD_Opt,90.0,336.58495807647705,3.739832867516412,8,5,3,13,7,1,0,0,0,73495,7577,2070,544,45,638,13,True,41844,923966,923929,10,0,2700,0,0.42740555555555554,0.4905,0,0,1
1.0,0,60,60,45,ClearNoon,Town01,90.0,124.6757128238678,1.3852856980429755,5,5,0,9,5,0,1,1,0,89934,6933,2385,1076,63,1211,8,True,50165,552961,552943,8,0,2700,0,0.3602277777777778,0.397,0,0,0
1.0,1,60,60,44,ClearNoon,Town01,90.0,116.3268187046051,1.2925202078289455,7,5,2,12,7,0,0,0,0,86037,6488,2128,572,68,909,12,True,47614,523477,523449,12,0,2700,0,0.34389444444444445,0.4015,0,0,0
1.0,0,60,60,40,ClearNoon,Town05,90.0,195.5641872882843,2.17293541431427,2,2,0,3,2,0,0,0,0,98938,3916,724,1064,35,312,4,True,52322,852969,852932,4,0,2700,0,0.3650944444444443,0.4095,0,0,0
