penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,45,ClearNoon,Town01,90.0,48.57185959815979,0.5396873288684421,24,19,5,42,0,24,1,0,1,0,0,0,0,0,0,40,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,10,9
0.0,1,60,0,44,ClearNoon,Town01,90.0,50.77358102798462,0.5641509003109402,24,19,5,45,0,24,0,0,0,0,0,0,0,0,0,43,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,3,7,14
0.0,0,60,0,40,ClearNoon,Town05,90.0,51.684990882873535,0.5742776764763726,13,11,2,23,0,13,1,0,1,0,0,0,0,0,0,23,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,8,4,1
0.0,1,60,0,43,ClearNoon,Town05,90.0,52.26067519187927,0.5806741687986586,18,12,6,33,0,18,1,0,1,0,0,0,0,0,0,28,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,4,9
0.0,0,60,0,56,ClearNoon,Town10HD_Opt,90.0,61.87365508079529,0.687485056453281,28,19,9,51,0,28,1,0,1,0,0,0,0,0,0,45,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,8,7,13
0.0,1,60,0,59,ClearNoon,Town10HD_Opt,90.0,57.47617793083191,0.6386241992314656,24,16,8,46,0,24,1,0,1,0,0,0,0,0,0,39,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,8,11
0.0,0,60,0,45,HardRainNoon,Town01,90.0,52.96700644493103,0.588522293832567,24,19,5,42,0,24,1,0,1,0,0,0,0,0,0,40,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,10,9
0.0,1,60,0,44,HardRainNoon,Town01,90.0,55.239415407180786,0.6137712823020087,24,19,5,45,0,24,0,0,0,0,0,0,0,0,0,43,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,3,7,14
0.0,0,60,0,40,HardRainNoon,Town05,90.0,56.67320251464844,0.6297022501627604,13,11,2,23,0,13,1,0,1,0,0,0,0,0,0,23,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,8,4,1
0.0,1,60,0,43,HardRainNoon,Town05,90.0,56.29769253730774,0.6255299170811971,18,12,6,33,0,18,1,0,1,0,0,0,0,0,0,28,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,4,9
0.0,0,60,0,56,HardRainNoon,Town10HD_Opt,90.0,58.31982421875,0.647998046875,28,19,9,51,0,28,1,0,1,0,0,0,0,0,0,45,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,7,8,13
0.0,1,60,0,59,HardRainNoon,Town10HD_Opt,90.0,70.88809299468994,0.7876454777187771,24,16,8,46,0,24,1,0,1,0,0,0,0,0,0,39,False,0,0,0,0,0,2700,0,0.016333333333333335,0.0165,5,8,11
0.5,0,60,30,45,ClearNoon,Town01,90.0,56.82335114479065,0.6313705682754517,16,11,5,30,7,9,1,0,1,42729,1848,249,1016,8,0,26,False,0,0,0,7,0,2700,0,0.016333333333333335,0.0165,1,6,7
0.5,1,60,30,44,ClearNoon,Town01,90.0,55.63718867301941,0.6181909852557712,12,8,4,21,5,7,0,0,0,43065,2519,627,701,13,0,20,False,0,0,0,6,0,2700,0,0.016333333333333335,0.0165,2,2,5
0.5,0,60,30,40,ClearNoon,Town05,90.0,59.05509829521179,0.6561677588356866,13,9,4,24,7,6,0,0,0,41435,1007,359,261,1,0,22,False,0,0,0,8,0,2700,0,0.016333333333333335,0.0165,2,2,4
0.5,1,60,30,43,ClearNoon,Town05,90.0,59.30797052383423,0.6589774502648248,7,7,0,13,3,4,0,0,0,49689,1166,428,870,5,0,14,False,0,0,0,4,0,2700,0,0.016333333333333335,0.0165,1,0,5
0.5,0,60,30,56,ClearNoon,Town10HD_Opt,90.0,66.09862089157104,0.734429121017456,26,15,11,47,17,9,1,0,1,28022,2512,628,369,12,0,39,False,0,0,0,19,0,2700,0,0.016333333333333335,0.0165,1,9,5
0.5,1,60,30,59,ClearNoon,Town10HD_Opt,90.0,76.71749782562256,0.8524166425069173,19,14,5,32,11,8,1,0,1,36721,3055,894,1328,37,0,31,False,0,0,0,13,0,2700,0,0.016350000000000003,0.0175,5,2,3
0.5,0,60,30,45,HardRainNoon,Town01,90.0,57.993799448013306,0.6443755494223701,15,10,5,29,7,8,0,0,0,41900,2040,315,656,17,0,25,False,0,0,0,7,0,2700,0,0.016333333333333335,0.0165,2,5,4
0.5,1,60,30,44,HardRainNoon,Town01,90.0,60.178234338760376,0.6686470482084487,13,10,3,24,6,7,0,0,0,41986,2293,493,466,23,0,23,False,0,0,0,8,0,2700,0,0.016333333333333335,0.0165,2,2,6
0.5,0,60,30,40,HardRainNoon,Town05,90.0,64.2830069065094,0.7142556322945489,10,7,3,19,6,4,0,0,0,42167,1298,318,864,7,0,17,False,0,0,0,7,0,2700,0,0.016333333333333335,0.0165,3,1,2
0.5,1,60,30,43,HardRainNoon,Town05,90.0,62.647379875183105,0.6960819986131456,6,5,1,11,3,3,0,0,0,50101,1125,362,238,4,0,11,False,0,0,0,3,0,2700,0,0.016333333333333335,0.0165,0,0,4
0.5,0,60,30,56,HardRainNoon,Town10HD_Opt,90.0,65.51041221618652,0.7278934690687392,21,15,6,37,16,5,1,0,1,33909,3090,745,578,37,0,35,False,0,0,0,16,0,2700,0,0.016333333333333335,0.0165,1,3,6
0.5,1,60,30,59,HardRainNoon,Town10HD_Opt,90.0,71.60732316970825,0.7956369241078695,16,13,3,28,6,10,1,0,1,41562,4009,929,548,35,0,28,False,0,0,0,7,0,2700,0,0.016333333333333335,0.0165,7,1,4
0.9,0,60,54,45,ClearNoon,Town01,90.0,64.39600491523743,0.7155111657248603,4,4,0,8,4,0,0,0,0,85537,4609,800,1133,33,0,8,False,0,0,0,5,0,2700,0,0.016333333333333335,0.0165,0,0,1
0.9,1,60,54,44,ClearNoon,Town01,90.0,62.87467622756958,0.698607513639662,9,7,2,17,7,2,0,0,0,78110,4949,977,679,21,0,16,False,0,0,0,11,0,2700,0,0.016333333333333335,0.0165,1,0,2
0.9,0,60,54,40,ClearNoon,Town05,90.0,78.11068844795227,0.8678965383105808,3,3,0,3,3,0,0,0,0,88235,2369,412,1066,16,0,4,False,0,0,0,4,0,2700,0,0.016333333333333335,0.0165,0,0,0
0.9,1,60,54,43,ClearNoon,Town05,90.0,67.27219986915588,0.7474688874350653,5,5,0,10,5,0,0,0,0,88154,2154,679,1419,20,0,10,False,0,0,0,8,0,2700,0,0.016333333333333335,0.0165,0,0,0
0.9,0,60,54,56,ClearNoon,Town10HD_Opt,90.0,86.53596305847168,0.9615107006496854,17,15,2,28,17,0,1,1,0,57718,5296,1014,1749,28,0,29,False,0,0,0,25,0,2700,0,0.016333333333333335,0.0165,0,0,2
0.9,1,60,54,59,ClearNoon,Town10HD_Opt,90.0,94.60674238204956,1.0511860264672173,9,8,1,17,8,1,0,0,0,72309,6731,1537,1721,62,0,17,False,0,0,0,14,0,2700,0,0.016333333333333335,0.0165,1,0,0
0.9,0,60,54,45,HardRainNoon,Town01,90.0,65.75295329093933,0.7305883698993259,6,4,2,11,6,0,0,0,0,84463,4209,1152,748,32,0,10,False,0,0,0,7,0,2700,0,0.016333333333333335,0.0165,0,0,1
0.9,1,60,54,44,HardRainNoon,Town01,90.0,67.17968988418579,0.7464409987131755,9,7,2,17,7,2,0,0,0,76658,4783,872,951,14,0,16,False,0,0,0,11,0,2700,0,0.016333333333333335,0.0165,1,0,1
0.9,0,60,54,40,HardRainNoon,Town05,90.0,78.41237235069275,0.8712485816743639,6,6,0,9,5,1,2,1,1,86303,2349,504,1162,11,0,10,False,0,0,0,8,0,2700,0,0.016333333333333335,0.0165,0,0,2
0.9,1,60,54,43,HardRainNoon,Town05,90.0,76.58983063697815,0.8509981181886461,4,4,0,7,3,1,0,0,0,88251,2143,617,1369,29,0,8,False,0,0,0,5,0,2700,0,0.016333333333333335,0.0165,1,0,0
0.9,0,60,54,56,HardRainNoon,Town10HD_Opt,90.0,78.51095151901245,0.872343905766805,13,10,3,22,12,1,1,1,0,72045,5911,1362,1113,56,0,21,False,0,0,0,17,0,2700,0,0.016333333333333335,0.0165,1,0,2
0.9,1,60,54,59,HardRainNoon,Town10HD_Opt,90.0,79.73710131645203,0.8859677924050225,10,8,2,17,10,0,0,0,0,71965,7069,1584,1151,89,0,18,False,0,0,0,17,0,2700,0,0.016333333333333335,0.0165,0,1,0
1.0,0,60,60,45,ClearNoon,Town01,90.0,65.67381167411804,0.7297090186013115,7,4,3,10,7,0,0,0,0,92713,5584,1154,1170,59,0,9,False,0,0,0,9,0,2700,0,0.016333333333333335,0.0165,0,0,0
1.0,1,60,60,44,ClearNoon,Town01,90.0,64.16086149215698,0.7128984610239665,7,5,2,12,7,0,0,0,0,87492,5626,1003,875,42,0,12,False,0,0,0,12,0,2700,0,0.016333333333333335,0.0165,0,0,0
