penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,primary_collision_count_mean,primary_collision_count_std,secondary_collision_count_mean,secondary_collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cooperative_brakes_mean,cooperative_brakes_std,frozen_vehicle_count_mean,frozen_vehicle_count_std,v2v_received_total_mean,v2v_received_total_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.0,60,44.5,ClearNoon,Town01,2,24.0,0.0,19.0,0.0,5.0,0.0,0.0,0.0,24.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,2.1213203435596424,0.0,0.0,0.0,0.0,0.18990010552936132,0.009313282775115624
0.0,60,41.5,ClearNoon,Town05,2,15.5,3.5355339059327378,11.5,0.7071067811865476,4.0,2.8284271247461903,0.0,0.0,15.5,3.5355339059327378,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,3.5355339059327378,0.0,0.0,0.0,0.0,0.19094691806369357,0.009274929142970689
0.0,60,57.5,ClearNoon,Town10HD_Opt,2,26.0,2.8284271247461903,17.5,2.1213203435596424,8.5,0.7071067811865476,0.0,0.0,26.0,2.8284271247461903,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.242640687119285,0.0,0.0,0.0,0.0,0.2167854415045844,0.013359711787369716
0.0,60,44.5,HardRainNoon,Town01,2,24.0,0.0,19.0,0.0,5.0,0.0,0.0,0.0,24.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,2.1213203435596424,0.0,0.0,0.0,0.0,0.19187061389287313,0.013393779553319394
0.0,60,41.5,HardRainNoon,Town05,2,15.5,3.5355339059327378,11.5,0.7071067811865476,4.0,2.8284271247461903,0.0,0.0,15.5,3.5355339059327378,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,3.5355339059327378,0.0,0.0,0.0,0.0,0.19306231737136842,0.00979338220948638
0.0,60,57.5,HardRainNoon,Town10HD_Opt,2,26.0,2.8284271247461903,17.5,2.1213203435596424,8.5,0.7071067811865476,0.0,0.0,26.0,2.8284271247461903,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.242640687119285,0.0,0.0,0.0,0.0,0.21714900467130874,0.0101648589126816
0.5,60,44.5,ClearNoon,Town01,2,15.0,1.4142135623730951,11.5,2.1213203435596424,3.5,0.7071067811865476,8.0,1.4142135623730951,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,7.7781745930520225,619.5,140.71424945612296,2465.5,116.67261889578035,7.0,0.0,9.0,1.4142135623730951,115.0,29.698484809834994,26.5,3.5355339059327378,135302.5,24694.290119377798,0.16005555555555556,0.009200244897438323,0.35132697688208686,0.011426426480208701
0.5,60,41.5,ClearNoon,Town05,2,9.5,0.7071067811865476,8.5,0.7071067811865476,1.0,1.4142135623730951,4.0,1.4142135623730951,5.5,0.7071067811865476,1.0,0.0,0.0,0.0,1.0,0.0,71.0,70.71067811865476,339.0,127.27922061357856,991.0,62.22539674441618,9.0,4.242640687119285,4.5,0.7071067811865476,7.0,9.899494936611665,17.0,0.0,195978.0,3613.3156518632577,0.159525,0.004222998832086319,0.38021942774454753,0.03229951646212045
0.5,60,57.5,ClearNoon,Town10HD_Opt,2,21.0,0.0,13.5,2.1213203435596424,7.5,2.1213203435596424,10.5,0.7071067811865476,10.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,0.5,0.7071067811865476,103.0,8.48528137423857,834.5,245.36605307173198,4419.5,876.1053018901324,6.5,4.949747468305833,11.5,0.7071067811865476,67.5,16.263455967290593,33.0,2.8284271247461903,224219.0,45242.10607387769,0.19314166666666666,0.00372802408525577,0.7706856886545816,0.1340986915956827
0.5,60,44.5,HardRainNoon,Town01,2,15.0,1.4142135623730951,11.5,2.1213203435596424,3.5,0.7071067811865476,8.0,1.4142135623730951,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,7.7781745930520225,619.5,140.71424945612296,2465.5,116.67261889578035,7.0,0.0,9.0,1.4142135623730951,115.0,29.698484809834994,26.5,3.5355339059327378,135302.5,24694.290119377798,0.16005555555555556,0.009200244897438323,0.34328828520245025,0.00371385104044452
