penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,45,ClearNoon,Town01,60.0,34.361448526382446,0.5726908087730408,5,8,0,5,0,0,0,0,0,0,0,0,0,8,True,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,0,1,4
0.0,0,60,0,42,ClearNoon,Town05,60.0,38.10992360115051,0.6351653933525085,6,11,0,6,0,0,0,0,0,0,0,0,0,12,True,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,1,2,3
0.0,0,60,0,60,ClearNoon,Town10HD_Opt,60.0,45.905728340148926,0.7650954723358154,7,13,0,7,1,0,1,0,0,0,0,0,0,12,True,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,2,3,2
0.0,0,60,0,45,HardRainNoon,Town01,60.0,35.849703311920166,0.5974950551986694,3,4,0,3,0,0,0,0,0,0,0,0,0,5,True,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,1,2,0
0.0,0,60,0,42,HardRainNoon,Town05,60.0,37.70885443687439,0.6284809072812398,4,6,0,4,0,0,0,0,0,0,0,0,0,7,True,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,2,1,1
0.0,0,60,0,60,HardRainNoon,Town10HD_Opt,60.0,54.8061249256134,0.9134354154268901,12,20,0,12,3,0,3,0,0,0,0,0,0,20,True,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,7,3,2
0.5,0,60,30,45,ClearNoon,Town01,60.0,49.80782961845398,0.8301304936408996,7,13,6,1,0,0,0,23641,3092,4500,156,10,0,13,True,15695,81397,81389,8,0,1800,0,0.18030000000000002,0.214,2,0,0
0.5,0,60,30,42,ClearNoon,Town05,60.0,59.50169610977173,0.9916949351628621,4,5,4,0,0,0,0,29012,1752,1854,16,4,0,6,True,16318,126582,126568,4,0,1800,0,0.18006666666666668,0.209,1,0,1
0.5,0,60,30,60,ClearNoon,Town10HD_Opt,60.0,95.76734900474548,1.5961224834124248,16,97,13,3,3,1,2,15920,3227,4913,616,10,0,26,True,12342,134657,134585,15,0,1800,0,0.20215833333333333,0.2445,2,4,1
0.5,0,60,30,45,HardRainNoon,Town01,60.0,47.87619376182556,0.7979365626970927,9,16,7,2,0,0,0,22402,3326,4881,403,14,35,16,True,15490,84993,84961,8,0,1800,0,0.181175,0.2145,1,1,1
