penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cooperative_brakes_mean,cooperative_brakes_std,frozen_vehicle_count_mean,frozen_vehicle_count_std,v2v_received_total_mean,v2v_received_total_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.0,60,45.0,ClearNoon,Town01,1,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.016249999999999997,0.0,0.5726908087730408,0.0
0.0,60,42.0,ClearNoon,Town05,1,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.016249999999999997,0.0,0.6351653933525085,0.0
0.0,60,60.0,ClearNoon,Town10HD_Opt,1,7.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.016249999999999997,0.0,0.7650954723358154,0.0
0.0,60,45.0,HardRainNoon,Town01,1,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.016249999999999997,0.0,0.5974950551986694,0.0
0.0,60,42.0,HardRainNoon,Town05,1,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.016249999999999997,0.0,0.6284809072812398,0.0
0.0,60,60.0,HardRainNoon,Town10HD_Opt,1,12.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.016249999999999997,0.0,0.9134354154268901,0.0
0.5,60,45.0,ClearNoon,Town01,1,7.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,4500.0,0.0,3092.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,81389.0,0.0,0.18030000000000002,0.0,0.8301304936408996,0.0
0.5,60,42.0,ClearNoon,Town05,1,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1854.0,0.0,1752.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,126568.0,0.0,0.18006666666666668,0.0,0.9916949351628621,0.0
0.5,60,60.0,ClearNoon,Town10HD_Opt,1,16.0,0.0,13.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,616.0,0.0,4913.0,0.0,3227.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,26.0,0.0,134585.0,0.0,0.20215833333333333,0.0,1.5961224834124248,0.0
0.5,60,45.0,HardRainNoon,Town01,1,9.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,4881.0,0.0,3326.0,0.0,14.0,0.0,8.0,0.0,35.0,0.0,16.0,0.0,84961.0,0.0,0.181175,0.0,0.7979365626970927,0.0
