penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,42,ClearNoon,Town05,60.0,36.002117395401,0.60003528992335,2,3,0,2,0,0,0,0,0,0,0,0,0,3,False,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,1,1,0
0.0,0,60,0,60,ClearNoon,Town10HD_Opt,60.0,48.26537370681763,0.8044228951136271,11,18,0,11,3,0,3,0,0,0,0,0,0,19,False,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,2,3,6
0.0,0,60,0,45,HardRainNoon,Town01,60.0,32.546448707580566,0.5424408117930094,6,8,0,6,0,0,0,0,0,0,0,0,0,10,False,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,1,3,2
0.0,0,60,0,42,HardRainNoon,Town05,60.0,37.91129398345947,0.6318548997243245,1,2,0,1,0,0,0,0,0,0,0,0,0,2,False,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,0,0,1
0.0,0,60,0,60,HardRainNoon,Town10HD_Opt,60.0,51.35958552360535,0.8559930920600891,7,13,0,7,0,0,0,0,0,0,0,0,0,12,False,0,0,0,0,0,1800,0,0.016249999999999997,0.0165,2,1,4
0.5,0,60,30,45,ClearNoon,Town01,60.0,36.982027530670166,0.6163671255111695,7,12,5,2,0,0,0,26261,3015,3605,139,11,0,13,False,0,0,0,6,0,1800,0,0.016249999999999997,0.0165,0,2,2
0.5,0,60,30,42,ClearNoon,Town05,60.0,42.97516942024231,0.7162528236707052,8,11,8,0,1,1,0,25758,2004,3567,36,0,0,12,False,0,0,0,9,0,1800,0,0.016249999999999997,0.0165,1,1,0
0.5,0,60,30,60,ClearNoon,Town10HD_Opt,60.0,50.110302448272705,0.8351717074712117,16,25,13,3,0,0,0,15704,2857,6981,1933,3,0,26,False,0,0,0,14,0,1800,0,0.016249999999999997,0.0165,0,4,2
0.5,0,60,30,45,HardRainNoon,Town01,60.0,35.488380908966064,0.5914730151494344,11,17,9,2,0,0,0,22960,2880,3542,204,2,0,18,False,0,0,0,10,0,1800,0,0.016249999999999997,0.0165,1,1,2
0.5,0,60,30,42,HardRainNoon,Town05,60.0,44.17096543312073,0.7361827572186788,6,10,5,1,0,0,0,26140,2820,2004,789,0,0,10,False,0,0,0,6,0,1800,0,0.016249999999999997,0.0165,1,1,1
0.5,0,60,30,60,HardRainNoon,Town10HD_Opt,60.0,50.29874849319458,0.8383124748865763,10,14,9,1,0,0,0,17208,2984,5838,2175,2,0,14,False,0,0,0,9,0,1800,0,0.016249999999999997,0.0165,0,4,0
0.9,0,60,54,45,ClearNoon,Town01,60.0,40.09130382537842,0.6681883970896403,7,9,7,0,0,0,0,34701,5434,16660,246,12,0,11,False,0,0,0,9,0,1800,0,0.016249999999999997,0.0165,0,0,1
0.9,0,60,54,42,ClearNoon,Town05,60.0,51.35967516899109,0.8559945861498515,8,11,8,0,1,1,0,49174,3954,4486,582,0,0,12,False,0,0,0,11,0,1800,0,0.016249999999999997,0.0165,0,1,0
0.9,0,60,54,60,ClearNoon,Town10HD_Opt,60.0,64.42884945869446,1.0738141576449076,12,19,12,0,0,0,0,23827,7807,16584,2332,16,0,18,False,0,0,0,17,0,1800,0,0.016249999999999997,0.0165,0,0,0
0.9,0,60,54,42,HardRainNoon,Town05,60.0,51.79930639266968,0.8633217732111613,6,7,6,0,0,0,0,52079,3597,2631,1728,6,0,8,False,0,0,0,7,0,1800,0,0.016249999999999997,0.0165,0,1,0
0.9,0,60,54,60,HardRainNoon,Town10HD_Opt,60.0,49.99822235107422,0.833303705851237,17,27,17,0,0,0,0,23385,5340,15308,1620,10,0,27,False,0,0,0,25,0,1800,0,0.016249999999999997,0.0165,0,0,1
1.0,0,60,60,45,ClearNoon,Town01,60.0,41.224117279052734,0.6870686213175455,6,7,6,0,0,0,0,42902,5434,15902,250,2,0,9,False,0,0,0,9,0,1800,0,0.016249999999999997,0.0165,0,0,0
1.0,0,60,60,42,ClearNoon,Town05,60.0,52.38291120529175,0.8730485200881958,6,7,6,0,0,0,0,52520,3881,7206,2577,0,0,8,False,0,0,0,8,0,1800,0,0.016249999999999997,0.0165,0,0,0
1.0,0,60,60,60,ClearNoon,Town10HD_Opt,60.0,64.97431826591492,1.0829053044319152,16,23,16,0,0,0,0,28939,6308,17587,1671,9,0,22,False,0,0,0,22,0,1800,0,0.016249999999999997,0.0165,0,0,0
1.0,0,60,60,45,HardRainNoon,Town01,60.0,41.861567974090576,0.6976927995681763,7,9,7,0,0,0,0,39021,6072,18607,261,7,0,11,False,0,0,0,11,0,1800,0,0.016249999999999997,0.0165,0,0,0
1.0,0,60,60,42,HardRainNoon,Town05,60.0,54.950905084609985,0.915848418076833,8,12,8,0,0,0,0,51226,3688,7858,1385,2,0,13,False,0,0,0,13,0,1800,0,0.016249999999999997,0.0165,0,0,0
1.0,0,60,60,60,HardRainNoon,Town10HD_Opt,60.0,60.619693994522095,1.010328233242035,13,19,13,0,0,0,0,26130,6371,20686,1887,1,0,20,False,0,0,0,20,0,1800,0,0.016249999999999997,0.0165,0,0,0
