penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,45,ClearNoon,Town01,60.0,10.863720178604126,0.18106200297673544,7,12,0,7,0,0,0,0,0,0,0,0,0,11,True,0,0,0,0,0,0,0,0.0,0.0,3,3,1
0.0,0,60,0,42,ClearNoon,Town05,60.0,10.814094066619873,0.18023490111033122,2,3,0,2,1,0,1,0,0,0,0,0,0,3,True,0,0,0,0,0,0,0,0.0,0.0,0,0,2
0.0,0,60,0,60,ClearNoon,Town10HD_Opt,60.0,13.108474731445312,0.21847457885742189,9,15,0,9,1,0,1,0,0,0,0,0,0,13,True,0,0,0,0,0,0,0,0.0,0.0,4,2,3
0.0,0,60,0,45,HardRainNoon,Town01,60.0,10.756022453308105,0.17926704088846843,4,6,0,4,0,0,0,0,0,0,0,0,0,7,True,0,0,0,0,0,0,0,0.0,0.0,2,1,1
0.0,0,60,0,42,HardRainNoon,Town05,60.0,10.899015188217163,0.1816502531369527,5,9,0,5,0,0,0,0,0,0,0,0,0,10,True,0,0,0,0,0,0,0,0.0,0.0,3,1,1
0.0,0,60,0,60,HardRainNoon,Town10HD_Opt,60.0,14.045808553695679,0.23409680922826132,8,14,0,8,1,0,1,0,0,0,0,0,0,15,True,0,0,0,0,0,0,0,0.0,0.0,2,2,4
0.5,0,60,30,45,ClearNoon,Town01,60.0,20.897801399230957,0.3482966899871826,9,16,8,1,0,0,0,24358,2702,4652,186,14,0,15,True,15827,84344,84332,6,0,0,0,0.1626,0.195,0,3,1
0.5,0,60,30,42,ClearNoon,Town05,60.0,24.09721541404724,0.40162025690078734,6,8,6,0,0,0,0,28623,1571,1067,86,6,0,9,True,15621,124171,124152,7,0,0,0,0.15200833333333336,0.19,0,1,1
0.5,0,60,30,60,ClearNoon,Town10HD_Opt,60.0,50.90775990486145,0.8484626650810242,14,21,11,3,0,0,0,15005,4057,8459,39,8,15,23,True,13784,146768,146682,11,0,0,0,0.19864999999999997,0.232,1,5,2
0.5,0,60,30,45,HardRainNoon,Town01,60.0,20.646652936935425,0.34411088228225706,9,17,7,2,0,0,0,26450,3090,2743,153,16,0,15,True,16218,87232,87232,6,0,0,0,0.17125833333333332,0.213,0,3,1
0.5,0,60,30,42,HardRainNoon,Town05,60.0,28.942801475524902,0.4823800245920817,6,8,5,1,0,0,0,28935,1179,2363,10,10,0,8,True,16222,144508,144500,6,0,0,0,0.17446666666666663,0.198,0,0,2
0.5,0,60,30,60,HardRainNoon,Town10HD_Opt,60.0,45.43148469924927,0.7571914116541545,13,20,12,1,0,0,0,16250,5149,6822,32,12,0,22,True,14131,146646,146555,13,0,0,0,0.18755833333333335,0.222,1,4,0
0.9,0,60,54,45,ClearNoon,Town01,60.0,48.057241916656494,0.800954031944275,9,13,9,0,0,0,0,33471,5521,16447,401,8,12,14,True,27924,257027,256925,11,0,0,0,0.30446666666666666,0.335,0,0,2
0.9,0,60,54,42,ClearNoon,Town05,60.0,78.04265022277832,1.3007108370463054,6,8,6,0,0,0,0,54076,2776,3919,48,10,2,9,True,30403,489254,489188,8,0,0,0,0.31445,0.361,0,1,0
0.9,0,60,54,60,ClearNoon,Town10HD_Opt,60.0,158.3243968486786,2.6387399474779767,14,19,14,0,1,1,0,26183,7073,17170,434,3,19,21,True,25434,516798,516642,19,0,0,0,0.33819166666666667,0.4075,0,0,0
0.9,0,60,54,45,HardRainNoon,Town01,60.0,42.79785752296448,0.7132976253827413,10,14,10,0,0,0,0,38638,5223,11937,298,6,9,16,True,28052,267503,267425,14,0,0,0,0.290625,0.3305,0,0,1
0.9,0,60,54,42,HardRainNoon,Town05,60.0,67.09683990478516,1.1182806650797525,3,4,3,0,0,0,0,54115,2896,3989,12,20,0,5,True,30508,456359,456306,4,0,0,0,0.30632500000000007,0.3575,0,1,0
