penetration,n_walkers,n_walkers_actual,weather,map,n_seeds,collision_count_mean,collision_count_std,cav_collision_count_mean,cav_collision_count_std,hdv_collision_count_mean,hdv_collision_count_std,vru_collision_count_mean,vru_collision_count_std,cav_hit_pedestrian_count_mean,cav_hit_pedestrian_count_std,hdv_hit_pedestrian_count_mean,hdv_hit_pedestrian_count_std,action_hard_brake_mean,action_hard_brake_std,action_soft_brake_mean,action_soft_brake_std,action_decelerate_mean,action_decelerate_std,phantom_brakes_suppressed_mean,phantom_brakes_suppressed_std,dead_cav_count_mean,dead_cav_count_std,cooperative_brakes_mean,cooperative_brakes_std,frozen_vehicle_count_mean,frozen_vehicle_count_std,v2v_received_total_mean,v2v_received_total_std,cbr_mean_mean,cbr_mean_std,wall_to_sim_ratio_mean,wall_to_sim_ratio_std
0.0,60,45.0,ClearNoon,Town01,1,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.18106200297673544,0.0
0.0,60,42.0,ClearNoon,Town05,1,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.18023490111033122,0.0
0.0,60,60.0,ClearNoon,Town10HD_Opt,1,9.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.21847457885742189,0.0
0.0,60,45.0,HardRainNoon,Town01,1,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.17926704088846843,0.0
0.0,60,42.0,HardRainNoon,Town05,1,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1816502531369527,0.0
0.0,60,60.0,HardRainNoon,Town10HD_Opt,1,8.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.23409680922826132,0.0
0.5,60,45.0,ClearNoon,Town01,1,9.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,4652.0,0.0,2702.0,0.0,14.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,84332.0,0.0,0.1626,0.0,0.3482966899871826,0.0
0.5,60,42.0,ClearNoon,Town05,1,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,1067.0,0.0,1571.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,124152.0,0.0,0.15200833333333336,0.0,0.40162025690078734,0.0
0.5,60,60.0,ClearNoon,Town10HD_Opt,1,14.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,8459.0,0.0,4057.0,0.0,8.0,0.0,11.0,0.0,15.0,0.0,23.0,0.0,146682.0,0.0,0.19864999999999997,0.0,0.8484626650810242,0.0
0.5,60,45.0,HardRainNoon,Town01,1,9.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,2743.0,0.0,3090.0,0.0,16.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,87232.0,0.0,0.17125833333333332,0.0,0.34411088228225706,0.0
0.5,60,42.0,HardRainNoon,Town05,1,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2363.0,0.0,1179.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,144500.0,0.0,0.17446666666666663,0.0,0.4823800245920817,0.0
0.5,60,60.0,HardRainNoon,Town10HD_Opt,1,13.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,6822.0,0.0,5149.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,22.0,0.0,146555.0,0.0,0.18755833333333335,0.0,0.7571914116541545,0.0
0.9,60,45.0,ClearNoon,Town01,1,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,0.0,16447.0,0.0,5521.0,0.0,8.0,0.0,11.0,0.0,12.0,0.0,14.0,0.0,256925.0,0.0,0.30446666666666666,0.0,0.800954031944275,0.0
0.9,60,42.0,ClearNoon,Town05,1,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,3919.0,0.0,2776.0,0.0,10.0,0.0,8.0,0.0,2.0,0.0,9.0,0.0,489188.0,0.0,0.31445,0.0,1.3007108370463054,0.0
0.9,60,60.0,ClearNoon,Town10HD_Opt,1,14.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,434.0,0.0,17170.0,0.0,7073.0,0.0,3.0,0.0,19.0,0.0,19.0,0.0,21.0,0.0,516642.0,0.0,0.33819166666666667,0.0,2.6387399474779767,0.0
0.9,60,45.0,HardRainNoon,Town01,1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,11937.0,0.0,5223.0,0.0,6.0,0.0,14.0,0.0,9.0,0.0,16.0,0.0,267425.0,0.0,0.290625,0.0,0.7132976253827413,0.0
0.9,60,42.0,HardRainNoon,Town05,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3989.0,0.0,2896.0,0.0,20.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,456306.0,0.0,0.30632500000000007,0.0,1.1182806650797525,0.0
0.9,60,60.0,HardRainNoon,Town10HD_Opt,1,17.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,92.0,0.0,11558.0,0.0,6711.0,0.0,12.0,0.0,25.0,0.0,45.0,0.0,28.0,0.0,412846.0,0.0,0.2941333333333334,0.0,1.8185954213142395,0.0
1.0,60,45.0,ClearNoon,Town01,1,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,254.0,0.0,16877.0,0.0,5954.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,341709.0,0.0,0.3336166666666667,0.0,0.9748216350873311,0.0
1.0,60,42.0,ClearNoon,Town05,1,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4976.0,0.0,3692.0,0.0,23.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,562078.0,0.0,0.34483333333333344,0.0,1.6596693595250447,0.0
