penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,45,ClearNoon,Town01,120.0,78.64116406440735,0.6553430338700612,1377,25000,0,1377,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,735,238,404
0.0,1,60,0,44,ClearNoon,Town01,120.0,79.86363053321838,0.6655302544434866,1431,25000,0,1431,3,0,3,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,752,334,345
0.0,2,60,0,47,ClearNoon,Town01,120.0,78.52576160430908,0.6543813467025756,1370,25000,0,1370,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,600,352,418
0.0,3,60,0,44,ClearNoon,Town01,120.0,78.98946166038513,0.6582455138365427,1371,25000,0,1371,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,731,342,298
0.0,4,60,0,44,ClearNoon,Town01,120.0,79.02913546562195,0.6585761288801829,1394,25000,0,1394,4,0,4,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,680,277,437
0.0,0,60,0,42,ClearNoon,Town05,120.0,85.20340085029602,0.7100283404191335,1379,25000,0,1379,2,0,2,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,564,362,453
0.0,1,60,0,43,ClearNoon,Town05,120.0,84.04941606521606,0.7004118005434672,1316,25000,0,1316,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,511,342,463
0.0,2,60,0,41,ClearNoon,Town05,120.0,82.48822593688965,0.6874018828074138,1358,25000,0,1358,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,482,409,467
0.0,3,60,0,42,ClearNoon,Town05,120.0,84.36503076553345,0.703041923046112,1023,19007,0,1023,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,340,366,317
0.0,4,60,0,42,ClearNoon,Town05,120.0,83.56736302375793,0.6963946918646494,1216,22222,0,1216,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,400,416,400
0.0,0,60,0,60,ClearNoon,Town10HD_Opt,120.0,95.6523540019989,0.7971029500166575,1362,25000,0,1362,3,0,3,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,568,358,436
0.0,1,60,0,59,ClearNoon,Town10HD_Opt,120.0,105.24902772903442,0.8770752310752868,1392,25000,0,1392,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,652,343,397
0.0,2,60,0,59,ClearNoon,Town10HD_Opt,120.0,97.31871104240417,0.8109892586867015,1400,25000,0,1400,8,0,8,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,770,370,260
0.0,3,60,0,59,ClearNoon,Town10HD_Opt,120.0,96.47434854507446,0.8039529045422872,1443,25000,0,1443,4,0,4,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,570,426,447
0.0,4,60,0,59,ClearNoon,Town10HD_Opt,120.0,94.57554578781128,0.7881295482317606,1412,25000,0,1412,3,0,3,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,637,268,507
0.0,0,60,0,45,ClearSunset,Town01,120.0,80.87891817092896,0.6739909847577413,1409,25000,0,1409,5,0,5,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,771,270,368
0.0,1,60,0,44,ClearSunset,Town01,120.0,83.83213019371033,0.6986010849475861,1443,25000,0,1443,3,0,3,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,815,364,264
0.0,3,60,0,44,ClearSunset,Town01,120.0,82.28904557228088,0.685742046435674,1375,25000,0,1375,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,773,325,277
0.0,4,60,0,44,ClearSunset,Town01,120.0,82.89940977096558,0.6908284147580465,1418,25000,0,1418,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,665,263,490
0.0,0,60,0,42,ClearSunset,Town05,120.0,86.39043545722961,0.7199202954769135,1380,25000,0,1380,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,493,455,432
0.0,1,60,0,43,ClearSunset,Town05,120.0,86.27993512153625,0.7189994593461354,871,15435,0,871,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,369,68,434
0.0,2,60,0,41,ClearSunset,Town05,120.0,85.10829067230225,0.7092357556025187,1345,25000,0,1345,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,407,755,183
0.0,3,60,0,42,ClearSunset,Town05,120.0,86.11085891723633,0.7175904909769694,1235,25000,0,1235,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,561,254,420
0.0,4,60,0,42,ClearSunset,Town05,120.0,85.28534603118896,0.7107112169265747,788,14119,0,788,2,0,2,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,463,97,228
0.0,0,60,0,60,ClearSunset,Town10HD_Opt,120.0,99.76792287826538,0.8313993573188782,1358,25000,0,1358,2,0,2,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,584,417,357
0.0,1,60,0,59,ClearSunset,Town10HD_Opt,120.0,97.73402667045593,0.8144502222537995,1409,25000,0,1409,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,725,270,414
0.0,2,60,0,59,ClearSunset,Town10HD_Opt,120.0,97.40104508399963,0.8116753756999969,1435,25000,0,1435,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,807,257,371
0.0,3,60,0,59,ClearSunset,Town10HD_Opt,120.0,96.29953289031982,0.8024961074193319,1420,25000,0,1420,2,0,2,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,543,418,459
0.0,4,60,0,59,ClearSunset,Town10HD_Opt,120.0,97.4180896282196,0.8118174135684967,1408,25000,0,1408,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,574,376,458
0.0,0,60,0,45,HardRainNoon,Town01,120.0,91.38524389266968,0.7615436991055806,1345,25000,0,1345,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,651,321,373
0.0,1,60,0,44,HardRainNoon,Town01,120.0,93.89796423912048,0.782483035326004,1405,25000,0,1405,6,0,6,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,782,287,336
0.0,3,60,0,44,HardRainNoon,Town01,120.0,87.48830389976501,0.7290691991647085,1375,25000,0,1375,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,875,280,220
0.0,4,60,0,44,HardRainNoon,Town01,120.0,87.98643732070923,0.7332203110059102,1384,25000,0,1384,5,0,5,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,668,253,463
0.0,0,60,0,42,HardRainNoon,Town05,120.0,93.05320382118225,0.7754433651765188,1205,22184,0,1205,1,0,1,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,526,334,345
0.0,1,60,0,43,HardRainNoon,Town05,120.0,92.72765636444092,0.7727304697036743,1315,25000,0,1315,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,561,271,483
0.0,2,60,0,41,HardRainNoon,Town05,120.0,92.23426485061646,0.7686188737551372,1184,21913,0,1184,2,0,2,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,423,491,270
0.0,3,60,0,42,HardRainNoon,Town05,120.0,92.94598340988159,0.7745498617490133,1175,21223,0,1175,2,0,2,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,584,187,404
0.0,4,60,0,42,HardRainNoon,Town05,120.0,91.86255717277527,0.7655213097731273,917,16396,0,917,0,0,0,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,406,106,405
0.0,0,60,0,60,HardRainNoon,Town10HD_Opt,120.0,98.81098651885986,0.8234248876571655,1443,25000,0,1443,3,0,3,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,648,380,415
0.0,1,60,0,59,HardRainNoon,Town10HD_Opt,120.0,99.4891574382782,0.8290763119856517,1405,25000,0,1405,3,0,3,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,720,260,425
0.0,2,60,0,59,HardRainNoon,Town10HD_Opt,120.0,97.19088387489319,0.8099240322907766,1367,25000,0,1367,3,0,3,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,670,347,350
0.0,3,60,0,59,HardRainNoon,Town10HD_Opt,120.0,97.79683899879456,0.8149736583232879,1355,25000,0,1355,2,0,2,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,512,412,431
0.0,4,60,0,59,HardRainNoon,Town10HD_Opt,120.0,97.9627320766449,0.8163561006387074,1447,25000,0,1447,13,0,13,0,0,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,645,231,571
0.5,0,60,30,45,ClearNoon,Town01,120.0,97.18287396430969,0.8098572830359141,1406,25000,772,634,2,2,0,65769,2430,2483,1318,32,0,0,3600,0,0.016375000000000008,0.0165,756,254,396
0.5,1,60,30,44,ClearNoon,Town01,120.0,97.52509021759033,0.8127090851465861,1463,25000,531,932,2,0,2,66490,2114,2295,1101,20,0,0,3600,0,0.016375000000000008,0.0165,824,320,319
0.5,2,60,30,47,ClearNoon,Town01,120.0,102.13904523849487,0.8511587103207906,1423,25000,821,602,0,0,0,65061,2481,2774,1684,25,0,0,3600,0,0.016375000000000008,0.0165,727,351,345
0.5,3,60,30,44,ClearNoon,Town01,120.0,97.6350462436676,0.8136253853638967,1398,25000,514,884,1,0,1,65507,2262,2426,1805,18,0,0,3600,0,0.016375000000000008,0.0165,803,290,305
0.5,4,60,30,44,ClearNoon,Town01,120.0,96.27850890159607,0.8023209075133005,1423,25000,864,559,1,1,0,67201,2179,2052,568,17,0,0,3600,0,0.016375000000000008,0.0165,641,292,490
0.5,0,60,30,42,ClearNoon,Town05,120.0,119.72783541679382,0.9977319618066152,1364,25000,668,696,1,1,0,66474,1377,1665,2484,25,0,0,3600,0,0.016375000000000008,0.0165,628,433,303
0.5,1,60,30,43,ClearNoon,Town05,120.0,107.76695656776428,0.8980579713980357,846,15166,403,443,2,2,0,66469,1186,1427,2918,17,0,0,3600,0,0.016375000000000008,0.0165,367,209,270
0.5,2,60,30,41,ClearNoon,Town05,120.0,116.54463195800781,0.9712052663167318,1379,25000,576,803,0,0,0,67781,1231,1012,1976,27,0,0,3600,0,0.016375000000000008,0.0165,432,701,246
