penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.9,0,60,54,45,ClearNoon,Town01,120.0,111.40186548233032,0.9283488790194193,1398,25000,1248,150,1,1,0,119468,3813,3914,2405,60,0,0,3600,0,0.016375000000000008,0.0165,868,146,384
0.9,1,60,54,44,ClearNoon,Town01,120.0,114.4653103351593,0.9538775861263276,1366,25000,1263,103,1,0,1,119422,3658,4188,2332,47,0,0,3600,0,0.016375000000000008,0.0165,599,375,392
0.9,2,60,54,47,ClearNoon,Town01,120.0,113.47888445854187,0.9456573704878489,1399,25000,1244,155,0,0,0,119232,3838,4030,2500,48,0,0,3600,0,0.016375000000000008,0.0165,578,347,474
0.9,3,60,54,44,ClearNoon,Town01,120.0,107.10647702217102,0.8925539751847585,1313,25000,1239,74,1,1,0,119884,3132,3621,2883,57,1,0,3600,0,0.016375000000000008,0.0165,721,289,303
0.9,4,60,54,44,ClearNoon,Town01,120.0,107.40633988380432,0.895052832365036,1381,25000,1243,138,1,1,0,120714,3554,3517,1815,38,0,0,3600,0,0.016375000000000008,0.0165,622,242,517
0.9,0,60,54,42,ClearNoon,Town05,120.0,146.37266325950623,1.2197721938292185,1244,23415,1161,83,0,0,0,118757,2366,2471,6006,34,0,0,3600,0,0.016375000000000008,0.0165,655,224,365
0.9,1,60,54,43,ClearNoon,Town05,120.0,141.37153482437134,1.1780961235364278,593,11162,545,48,0,0,0,120332,1666,1308,6294,17,0,0,3600,0,0.016375000000000008,0.0165,240,229,124
0.9,2,60,54,41,ClearNoon,Town05,120.0,153.8300278186798,1.2819168984889984,946,17757,816,130,3,2,1,118421,2595,1805,6779,44,0,0,3600,0,0.016375000000000008,0.0165,367,230,349
0.9,3,60,54,42,ClearNoon,Town05,120.0,143.24540281295776,1.1937116901079814,1324,24665,1088,236,0,0,0,118353,2437,2286,6524,31,0,0,3600,0,0.016375000000000008,0.0165,583,361,380
0.9,4,60,54,42,ClearNoon,Town05,120.0,140.72472500801086,1.1727060417334239,803,14779,733,70,1,1,0,119059,2165,1535,6841,28,0,0,3600,0,0.016375000000000008,0.0165,393,176,234
0.9,0,60,54,60,ClearNoon,Town10HD_Opt,120.0,178.08414554595947,1.484034546216329,1332,25000,1291,41,7,7,0,111948,6463,5900,5289,314,0,0,3600,0,0.016375000000000008,0.0165,616,338,378
0.9,1,60,54,59,ClearNoon,Town10HD_Opt,120.0,185.152729511261,1.5429394125938416,1398,25000,1189,209,3,3,0,112003,7003,5425,5169,167,0,0,3600,0,0.016375000000000008,0.0165,688,252,458
0.9,2,60,54,59,ClearNoon,Town10HD_Opt,120.0,191.21627807617188,1.5934689839680989,1362,25000,1247,115,3,1,2,110586,7039,6174,5801,193,0,0,3600,0,0.016375000000000008,0.0165,758,222,382
0.9,3,60,54,59,ClearNoon,Town10HD_Opt,120.0,192.15524792671204,1.6012937327226002,1366,25000,1200,166,0,0,0,111408,6556,5932,5704,179,0,0,3600,0,0.016379166666666674,0.017,643,291,432
0.9,0,60,54,45,ClearSunset,Town01,120.0,108.75516104698181,0.9062930087248484,1406,25000,1277,129,0,0,0,118936,4746,3799,2119,64,0,0,3600,0,0.016375000000000008,0.0165,806,222,378
0.9,1,60,54,44,ClearSunset,Town01,120.0,109.21104526519775,0.910092043876648,1382,25000,1283,99,2,0,2,118732,3703,3819,3346,45,0,0,3600,0,0.016375000000000008,0.0165,724,295,363
0.9,2,60,54,47,ClearSunset,Town01,120.0,113.95949983596802,0.9496624986330668,1391,25000,1168,223,2,2,0,118326,4161,4586,2527,54,0,0,3600,0,0.016375000000000008,0.0165,643,339,409
0.9,3,60,54,44,ClearSunset,Town01,120.0,109.04883480072021,0.9087402900060018,1334,25000,1219,115,1,1,0,118883,4094,3888,2735,73,0,0,3600,0,0.016375000000000008,0.0165,733,281,320
