penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,primary_collision_count,secondary_collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,45,ClearNoon,Town01,90.0,16.498315811157227,0.18331462012396918,24,19,5,42,0,24,1,0,1,0,0,0,0,0,0,40,True,0,0,0,0,0,0,0,0.0,0.0,5,10,9
0.0,1,60,0,44,ClearNoon,Town01,90.0,17.683703184127808,0.19648559093475343,24,19,5,45,0,24,0,0,0,0,0,0,0,0,0,43,True,0,0,0,0,0,0,0,0.0,0.0,3,7,14
0.0,0,60,0,40,ClearNoon,Town05,90.0,16.594969749450684,0.18438855277167426,13,11,2,23,0,13,1,0,1,0,0,0,0,0,0,23,True,0,0,0,0,0,0,0,0.0,0.0,8,4,1
0.0,1,60,0,43,ClearNoon,Town05,90.0,17.77547550201416,0.19750528335571288,18,12,6,33,0,18,1,0,1,0,0,0,0,0,0,28,True,0,0,0,0,0,0,0,0.0,0.0,5,4,9
0.0,0,60,0,56,ClearNoon,Town10HD_Opt,90.0,18.66048288345337,0.20733869870503743,28,19,9,51,0,28,1,0,1,0,0,0,0,0,0,45,True,0,0,0,0,0,0,0,0.0,0.0,8,7,13
0.0,1,60,0,59,ClearNoon,Town10HD_Opt,90.0,20.360896587371826,0.2262321843041314,24,16,8,46,0,24,1,0,1,0,0,0,0,0,0,39,True,0,0,0,0,0,0,0,0.0,0.0,5,8,11
0.0,0,60,0,45,HardRainNoon,Town01,90.0,16.415980339050293,0.18239978154500325,24,19,5,42,0,24,1,0,1,0,0,0,0,0,0,40,True,0,0,0,0,0,0,0,0.0,0.0,5,10,9
0.0,1,60,0,44,HardRainNoon,Town01,90.0,18.12073016166687,0.201341446240743,24,19,5,45,0,24,0,0,0,0,0,0,0,0,0,43,True,0,0,0,0,0,0,0,0.0,0.0,3,7,14
0.0,0,60,0,40,HardRainNoon,Town05,90.0,16.752361536026,0.1861373504002889,13,11,2,23,0,13,1,0,1,0,0,0,0,0,0,23,True,0,0,0,0,0,0,0,0.0,0.0,8,4,1
0.0,1,60,0,43,HardRainNoon,Town05,90.0,17.998855590820312,0.19998728434244792,18,12,6,33,0,18,1,0,1,0,0,0,0,0,0,28,True,0,0,0,0,0,0,0,0.0,0.0,5,4,9
0.0,0,60,0,56,HardRainNoon,Town10HD_Opt,90.0,18.896522760391235,0.20996136400434706,28,19,9,51,0,28,1,0,1,0,0,0,0,0,0,45,True,0,0,0,0,0,0,0,0.0,0.0,8,7,13
0.0,1,60,0,59,HardRainNoon,Town10HD_Opt,90.0,20.190298080444336,0.2243366453382704,24,16,8,46,0,24,1,0,1,0,0,0,0,0,0,39,True,0,0,0,0,0,0,0,0.0,0.0,5,8,11
0.5,0,60,30,45,ClearNoon,Town01,90.0,30.89225459098816,0.34324727323320176,16,13,3,30,9,7,0,0,0,41827,2383,520,56,7,94,29,True,22395,117858,117841,10,0,0,0,0.15355,0.184,1,5,4
0.5,1,60,30,44,ClearNoon,Town01,90.0,32.346601247787476,0.35940668053097197,14,10,4,25,7,7,0,0,0,42606,2548,719,45,7,136,24,True,22961,152778,152764,8,0,0,0,0.16656111111111113,0.1965,2,2,7
0.5,0,60,30,40,ClearNoon,Town05,90.0,36.27527713775635,0.40305863486395943,10,8,2,18,5,5,1,0,1,45882,947,249,21,6,14,17,True,23245,193457,193423,5,0,0,0,0.1565388888888889,0.2005,2,4,1
0.5,1,60,30,43,ClearNoon,Town05,90.0,32.16421985626221,0.35738022062513564,9,9,0,16,3,6,1,0,1,49226,1035,429,121,12,0,17,True,25268,198556,198533,4,0,0,0,0.1625111111111111,0.197,1,0,7
0.5,0,60,30,56,ClearNoon,Town10HD_Opt,90.0,77.89570045471191,0.8655077828301324,21,12,9,36,11,10,1,0,1,33798,3800,661,97,3,56,31,True,19180,192262,192228,11,0,0,0,0.19050555555555554,0.2345,2,8,5
0.5,1,60,30,59,ClearNoon,Town10HD_Opt,90.0,60.82772350311279,0.675863594479031,21,15,6,38,10,11,0,0,0,36387,5039,1008,109,10,79,35,True,21273,256273,256210,12,0,0,0,0.1957777777777778,0.2365,7,4,5
0.5,0,60,30,45,HardRainNoon,Town01,90.0,30.659597635269165,0.3406621959474352,16,13,3,30,9,7,0,0,0,41827,2383,520,56,7,94,29,True,22395,117858,117841,10,0,0,0,0.15355,0.184,1,5,4
0.5,1,60,30,44,HardRainNoon,Town01,90.0,31.132293701171875,0.34591437445746526,14,10,4,25,7,7,0,0,0,42606,2548,719,45,7,136,24,True,22961,152778,152764,8,0,0,0,0.16656111111111113,0.1965,2,2,7
0.5,0,60,30,40,HardRainNoon,Town05,90.0,36.59484362602234,0.4066093736224704,10,8,2,18,5,5,1,0,1,45882,947,249,21,6,14,17,True,23245,193457,193423,5,0,0,0,0.1565388888888889,0.2005,2,4,1
0.5,1,60,30,43,HardRainNoon,Town05,90.0,31.421313762664795,0.3491257084740533,9,9,0,16,3,6,1,0,1,49226,1035,429,121,12,0,17,True,25268,198556,198533,4,0,0,0,0.1625111111111111,0.197,1,0,7
0.5,0,60,30,56,HardRainNoon,Town10HD_Opt,90.0,74.9305067062378,0.8325611856248644,21,12,9,36,11,10,1,0,1,33798,3800,661,97,3,56,31,True,19180,192262,192228,11,0,0,0,0.19050555555555554,0.2345,2,9,5
0.5,1,60,30,59,HardRainNoon,Town10HD_Opt,90.0,62.41188716888428,0.6934654129876031,21,15,6,38,10,11,0,0,0,36387,5039,1008,109,10,79,35,True,21273,256273,256210,12,0,0,0,0.1957777777777778,0.2365,7,4,5
