penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,42,ClearNoon,Town05,120.0,69.85062599182129,0.5820885499318441,27,48,0,27,0,0,0,0,0,0,0,0,0,43,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,11,8,8
0.0,1,60,0,43,ClearNoon,Town05,120.0,74.86149954795837,0.6238458295663197,32,58,0,32,2,0,2,0,0,0,0,0,0,49,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,9,9,14
0.0,2,60,0,41,ClearNoon,Town05,120.0,74.34167098999023,0.6195139249165853,24,46,0,24,0,0,0,0,0,0,0,0,0,36,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,9,8,7
0.0,3,60,0,42,ClearNoon,Town05,120.0,73.22948598861694,0.6102457165718078,29,55,0,29,1,0,1,0,0,0,0,0,0,44,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,15,6,8
0.0,4,60,0,42,ClearNoon,Town05,120.0,73.48492383956909,0.6123743653297424,26,48,0,26,0,0,0,0,0,0,0,0,0,40,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,12,5,9
0.0,0,60,0,42,ClearSunset,Town05,120.0,75.5547981262207,0.6296233177185059,27,47,0,27,1,0,1,0,0,0,0,0,0,40,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,12,9,6
0.0,1,60,0,43,ClearSunset,Town05,120.0,72.7741231918335,0.6064510265986125,25,44,0,25,1,0,1,0,0,0,0,0,0,42,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,8,6,11
0.0,2,60,0,41,ClearSunset,Town05,120.0,72.51031565666199,0.6042526304721832,22,41,0,22,0,0,0,0,0,0,0,0,0,36,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,6,5,11
0.0,3,60,0,42,ClearSunset,Town05,120.0,72.1133337020874,0.6009444475173951,24,46,0,24,0,0,0,0,0,0,0,0,0,35,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,9,6,9
0.0,4,60,0,42,ClearSunset,Town05,120.0,75.51890349388123,0.6293241957823436,29,53,0,29,0,0,0,0,0,0,0,0,0,44,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,14,6,9
0.0,0,60,0,42,HardRainNoon,Town05,120.0,81.54345035552979,0.6795287529627482,33,61,0,33,1,0,1,0,0,0,0,0,0,49,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,16,7,10
0.0,1,60,0,43,HardRainNoon,Town05,120.0,82.72207188606262,0.6893505990505219,31,57,0,31,0,0,0,0,0,0,0,0,0,47,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,8,8,15
0.0,2,60,0,41,HardRainNoon,Town05,120.0,82.48187208175659,0.6873489340146383,29,54,0,29,1,0,1,0,0,0,0,0,0,44,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,15,5,9
0.0,3,60,0,42,HardRainNoon,Town05,120.0,80.4883062839508,0.6707358856995901,23,44,0,23,0,0,0,0,0,0,0,0,0,39,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,10,6,7
0.0,4,60,0,42,HardRainNoon,Town05,120.0,79.72213792800903,0.6643511494000752,32,59,0,32,1,0,1,0,0,0,0,0,0,47,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,16,5,11
0.5,0,60,30,42,ClearNoon,Town05,120.0,86.40291786193848,0.720024315516154,12,23,4,8,0,0,0,60685,1288,573,378,19,0,24,False,0,0,0,7,0,3600,0,0.016375000000000008,0.0165,4,3,3
0.5,1,60,30,43,ClearNoon,Town05,120.0,92.22641396522522,0.7685534497102101,12,20,9,3,1,1,0,56862,1339,706,1066,7,0,22,False,0,0,0,9,0,3600,0,0.016375000000000008,0.0165,1,0,4
0.5,2,60,30,41,ClearNoon,Town05,120.0,93.05624222755432,0.7754686852296193,17,31,4,13,0,0,0,61060,1135,742,2746,4,0,26,False,0,0,0,4,0,3600,0,0.016375000000000008,0.0165,6,5,4
0.5,3,60,30,42,ClearNoon,Town05,120.0,95.63667583465576,0.7969722986221314,19,36,10,9,2,2,0,47654,1334,991,3876,22,0,31,False,0,0,0,11,0,3600,0,0.016375000000000008,0.0165,8,2,4
0.5,4,60,30,42,ClearNoon,Town05,120.0,86.39289093017578,0.7199407577514648,13,24,8,5,1,0,1,52388,1186,893,2321,12,0,22,False,0,0,0,8,0,3600,0,0.016375000000000008,0.0165,0,3,5
0.5,0,60,30,42,ClearSunset,Town05,120.0,92.18932509422302,0.7682443757851919,14,26,5,9,0,0,0,59433,1244,711,2317,38,0,24,False,0,0,0,6,0,3600,0,0.016375000000000008,0.0165,4,3,3
0.5,1,60,30,43,ClearSunset,Town05,120.0,90.65133094787598,0.7554277578989664,14,24,8,6,0,0,0,58657,1685,1048,2460,26,0,25,False,0,0,0,7,0,3600,0,0.016375000000000008,0.0165,6,1,4
0.5,2,60,30,41,ClearSunset,Town05,120.0,101.25981736183167,0.8438318113485972,11,17,5,6,1,1,0,59813,2297,1033,2930,12,0,18,False,0,0,0,5,0,3600,0,0.016375000000000008,0.0165,4,2,1
0.5,3,60,30,42,ClearSunset,Town05,120.0,95.0188958644867,0.7918241322040558,14,28,6,8,0,0,0,53196,1923,1588,4181,35,0,24,False,0,0,0,7,0,3600,0,0.016375000000000008,0.0165,5,2,5
0.5,4,60,30,42,ClearSunset,Town05,120.0,91.41454672813416,0.761787889401118,16,31,9,7,0,0,0,53474,1620,1482,3232,14,0,30,False,0,0,0,10,0,3600,0,0.016375000000000008,0.0165,3,5,4
0.5,0,60,30,42,HardRainNoon,Town05,120.0,98.0553503036499,0.8171279191970825,14,25,5,9,0,0,0,59181,1309,933,3599,9,0,25,False,0,0,0,6,0,3600,0,0.016375000000000008,0.0165,4,4,3
0.5,1,60,30,43,HardRainNoon,Town05,120.0,88.05069494247437,0.7337557911872864,15,27,9,6,1,0,1,56025,1042,928,1584,10,0,24,False,0,0,0,7,0,3600,0,0.016375000000000008,0.0165,4,1,5
0.5,2,60,30,41,HardRainNoon,Town05,120.0,94.1477153301239,0.7845642944176991,12,21,8,4,1,0,1,54959,2050,771,3244,14,0,22,False,0,0,0,11,0,3600,0,0.016375000000000008,0.0165,1,3,3
0.5,3,60,30,42,HardRainNoon,Town05,120.0,95.78417134284973,0.7982014278570811,14,25,7,7,1,1,0,54214,1749,1323,5009,37,0,25,False,0,0,0,7,0,3600,0,0.016375000000000008,0.0165,3,3,4
0.5,4,60,30,42,HardRainNoon,Town05,120.0,90.20708346366882,0.7517256955305736,23,48,13,10,3,1,2,48448,1002,969,2783,17,0,35,False,0,0,0,14,0,3600,0,0.016375000000000008,0.0165,6,4,7
1.0,0,60,60,42,ClearNoon,Town05,120.0,125.92672634124756,1.049389386177063,3,3,3,0,2,2,0,132271,2486,1878,5981,38,0,3,False,0,0,0,3,0,3600,0,0.016375000000000008,0.0165,0,0,0
1.0,1,60,60,43,ClearNoon,Town05,120.0,115.52247834205627,0.9626873195171356,0,0,0,0,0,0,0,134667,2545,2249,4539,22,0,0,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,0,0,0
1.0,2,60,60,41,ClearNoon,Town05,120.0,129.5451831817627,1.0795431931813557,1,1,1,0,0,0,0,132338,2884,1721,6411,33,0,1,False,0,0,0,1,0,3600,0,0.016375000000000008,0.0165,0,0,0
