penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,60,ClearNoon,Town10HD_Opt,120.0,70.77955412864685,0.5898296177387238,42,78,0,42,1,0,1,0,0,0,0,0,0,60,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,20,11,11
0.0,1,60,0,59,ClearNoon,Town10HD_Opt,120.0,72.14600467681885,0.6012167056401571,39,73,0,39,1,0,1,0,0,0,0,0,0,59,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,15,11,13
0.0,2,60,0,59,ClearNoon,Town10HD_Opt,120.0,73.03341007232666,0.6086117506027222,40,70,0,40,1,0,1,0,0,0,0,0,0,58,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,16,8,16
0.0,3,60,0,59,ClearNoon,Town10HD_Opt,120.0,72.01024746894836,0.6000853955745697,45,83,0,45,0,0,0,0,0,0,0,0,0,60,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,21,11,13
0.0,4,60,0,59,ClearNoon,Town10HD_Opt,120.0,73.06863832473755,0.6089053193728129,41,76,0,41,1,0,1,0,0,0,0,0,0,57,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,19,9,13
0.0,0,60,0,60,ClearSunset,Town10HD_Opt,120.0,73.84275460243225,0.6153562883536021,40,73,0,40,2,0,2,0,0,0,0,0,0,59,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,21,7,12
0.0,1,60,0,59,ClearSunset,Town10HD_Opt,120.0,73.84587144851685,0.6153822620709737,43,80,0,43,2,0,2,0,0,0,0,0,0,60,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,15,10,18
0.0,2,60,0,59,ClearSunset,Town10HD_Opt,120.0,74.16418218612671,0.6180348515510559,43,80,0,43,0,0,0,0,0,0,0,0,0,59,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,22,10,11
0.0,3,60,0,59,ClearSunset,Town10HD_Opt,120.0,73.33906888961792,0.6111589074134827,40,77,0,40,0,0,0,0,0,0,0,0,0,57,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,17,9,14
0.0,4,60,0,59,ClearSunset,Town10HD_Opt,120.0,74.08293151855469,0.6173577626546224,40,75,0,40,1,0,1,0,0,0,0,0,0,58,False,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,16,10,14
0.5,0,60,30,60,ClearNoon,Town10HD_Opt,120.0,85.18875479698181,0.7099062899748484,37,66,24,13,0,0,0,14141,3100,702,6000,13,0,53,False,0,0,0,25,0,3600,0,0.016375000000000008,0.0165,7,7,5
0.5,1,60,30,59,ClearNoon,Town10HD_Opt,120.0,105.82526636123657,0.8818772196769714,32,55,20,12,0,0,0,28336,5939,1153,6310,31,0,47,False,0,0,0,19,0,3600,0,0.016379166666666674,0.017,15,1,4
0.5,2,60,30,59,ClearNoon,Town10HD_Opt,120.0,104.71815705299377,0.8726513087749481,29,53,19,10,0,0,0,23946,3206,899,9679,19,0,46,False,0,0,0,21,0,3600,0,0.016375000000000008,0.0165,6,5,4
0.5,4,60,30,59,ClearNoon,Town10HD_Opt,120.0,94.35008716583252,0.7862507263819377,30,56,20,10,0,0,0,24522,2989,1146,4119,26,0,49,False,0,0,0,23,0,3600,0,0.016375000000000008,0.0165,8,5,6
0.5,0,60,30,60,ClearSunset,Town10HD_Opt,120.0,87.09503221511841,0.7257919351259867,33,60,22,11,1,1,0,24539,2989,646,2269,17,0,49,False,0,0,0,22,0,3600,0,0.016375000000000008,0.0165,6,8,6
0.5,1,60,30,59,ClearSunset,Town10HD_Opt,120.0,97.29832458496094,0.8108193715413411,33,55,19,14,3,2,1,26473,5398,1033,4051,32,0,49,False,0,0,0,22,0,3600,0,0.016375000000000008,0.0165,12,2,7
0.5,2,60,30,59,ClearSunset,Town10HD_Opt,120.0,101.33608436584473,0.8444673697153727,33,58,21,12,1,1,0,22138,3048,858,4067,12,0,49,False,0,0,0,23,0,3600,0,0.016375000000000008,0.0165,12,4,3
0.5,3,60,30,59,ClearSunset,Town10HD_Opt,120.0,85.34631061553955,0.7112192551294962,32,56,21,11,1,0,1,20712,3051,1344,1095,15,0,50,False,0,0,0,24,0,3600,0,0.016375000000000008,0.0165,10,4,6
0.5,4,60,30,59,ClearSunset,Town10HD_Opt,120.0,89.30053806304932,0.7441711505254109,31,58,21,10,0,0,0,22763,2408,380,4301,22,0,50,False,0,0,0,23,0,3600,0,0.016375000000000008,0.0165,6,5,6
