penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.9,0,60,54,42,ClearNoon,Town05,120.0,105.81894564628601,0.8818245470523834,17,31,17,0,0,0,0,70889,4316,1381,6141,18,0,29,False,0,0,0,28,0,3600,0,0.016375000000000008,0.0165,1,1,1
0.9,1,60,54,43,ClearNoon,Town05,120.0,95.60404753684998,0.7967003961404164,20,34,20,0,0,0,0,76723,5825,856,1658,12,0,31,False,0,0,0,30,0,3600,0,0.016375000000000008,0.0165,0,0,1
0.9,2,60,54,41,ClearNoon,Town05,120.0,111.43543124198914,0.9286285936832428,18,29,18,0,0,0,0,74703,3865,1775,6617,15,0,28,False,0,0,0,28,0,3600,0,0.016375000000000008,0.0165,1,0,1
0.9,3,60,54,42,ClearNoon,Town05,120.0,109.81316137313843,0.9151096781094868,20,33,20,0,1,1,0,74034,7390,2001,7212,33,0,32,False,0,0,0,32,0,3600,0,0.016375000000000008,0.0165,0,1,0
0.9,4,60,54,42,ClearNoon,Town05,120.0,117.56598711013794,0.9797165592511495,18,31,18,0,0,0,0,73417,7753,1791,10908,21,0,26,False,0,0,0,26,0,3600,0,0.016375000000000008,0.0165,1,0,1
0.9,0,60,54,42,ClearSunset,Town05,120.0,112.49358129501343,0.9374465107917785,21,34,21,0,2,2,0,72912,5619,1797,6498,12,0,30,False,0,0,0,29,0,3600,0,0.016375000000000008,0.0165,2,1,1
0.9,1,60,54,43,ClearSunset,Town05,120.0,95.27016854286194,0.7939180711905162,20,33,20,0,1,1,0,74939,5844,1539,1433,18,0,30,False,0,0,0,27,0,3600,0,0.016375000000000008,0.0165,0,1,0
0.9,2,60,54,41,ClearSunset,Town05,120.0,98.20246195793152,0.8183538496494294,22,38,22,0,0,0,0,68706,4242,1478,2409,5,0,33,False,0,0,0,31,0,3600,0,0.016375000000000008,0.0165,1,0,3
0.9,3,60,54,42,ClearSunset,Town05,120.0,121.7486801147461,1.0145723342895507,18,33,18,0,1,1,0,76706,7442,1595,9289,21,0,28,False,0,0,0,28,0,3600,0,0.016375000000000008,0.0165,2,0,0
0.9,4,60,54,42,ClearSunset,Town05,120.0,102.08152055740356,0.850679337978363,18,27,18,0,2,2,0,88158,4755,1420,2781,34,0,25,False,0,0,0,23,0,3600,0,0.016375000000000008,0.0165,2,0,1
0.9,0,60,54,42,HardRainNoon,Town05,120.0,117.82964253425598,0.9819136877854665,19,31,19,0,2,2,0,66413,5287,1524,9308,24,0,29,False,0,0,0,29,0,3600,0,0.016375000000000008,0.0165,0,1,0
0.9,1,60,54,43,HardRainNoon,Town05,120.0,110.19624042510986,0.9183020035425822,17,28,15,2,2,1,1,94166,3924,1503,5336,41,0,24,False,0,0,0,21,0,3600,0,0.016375000000000008,0.0165,2,1,1
0.9,2,60,54,41,HardRainNoon,Town05,120.0,118.55590510368347,0.987965875864029,22,38,22,0,2,2,0,75005,5246,2080,6491,74,0,35,False,0,0,0,33,0,3600,0,0.016375000000000008,0.0165,0,0,1
0.9,4,60,54,42,HardRainNoon,Town05,120.0,117.77932620048523,0.9814943850040436,21,32,19,2,1,0,1,77211,8446,1576,8579,20,0,29,False,0,0,0,28,0,3600,0,0.016375000000000008,0.0165,0,2,1
