penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.9,0,60,54,42,ClearNoon,Town05,120.0,534.6579658985138,4.455483049154282,5,7,5,0,1,1,0,49570,1005,9254,62227,51,8656,7,True,61012,1053713,1053630,9,0,3600,0,0.30625,0.348,1,0,1
0.9,1,60,54,43,ClearNoon,Town05,120.0,387.71686911582947,3.2309739092985788,6,9,6,0,0,0,0,53154,770,10706,54942,47,10014,9,True,59634,914484,914418,9,0,3600,0,0.298675,0.3265,1,0,0
0.9,2,60,54,41,ClearNoon,Town05,120.0,558.7922427654266,4.656602023045222,7,11,6,1,0,0,0,49881,527,12294,57053,32,11443,11,True,59881,1143462,1143347,10,0,3600,0,0.2987083333333333,0.3365,1,1,1
0.9,3,60,54,42,ClearNoon,Town05,120.0,467.8470411300659,3.8987253427505495,5,10,5,0,0,0,0,49066,1009,9164,62404,37,8353,10,True,60727,977531,977437,8,0,3600,0,0.3070375,0.3195,1,0,1
0.9,4,60,54,42,ClearNoon,Town05,120.0,407.3384745121002,3.394487287600835,6,8,6,0,0,0,0,50365,1062,9360,58020,38,8741,9,True,59394,909450,909425,6,0,3600,0,0.29625833333333335,0.33,2,0,1
0.9,0,60,54,42,ClearSunset,Town05,120.0,555.2656042575836,4.627213368813197,6,9,5,1,0,0,0,50672,1831,8413,60758,42,7353,8,True,60702,1035482,1035373,8,0,3600,0,0.3183708333333333,0.346,0,0,2
0.9,1,60,54,43,ClearSunset,Town05,120.0,405.65894985198975,3.3804912487665812,8,13,6,2,0,0,0,52321,1079,10863,53989,66,10219,12,True,58987,878819,878735,10,0,3600,0,0.3037416666666666,0.328,1,1,0
0.9,2,60,54,41,ClearSunset,Town05,120.0,500.8072295188904,4.173393579324086,6,10,6,0,0,0,0,50403,731,10777,58156,25,9749,9,True,60036,1103226,1103157,10,0,3600,0,0.29933750000000003,0.3365,0,0,2
0.9,3,60,54,42,ClearSunset,Town05,120.0,472.35232281684875,3.936269356807073,3,6,3,0,0,0,0,44788,1437,10151,66633,33,8457,6,True,60664,993797,993715,6,0,3600,0,0.2985833333333334,0.319,1,0,0
0.9,4,60,54,42,ClearSunset,Town05,120.0,410.987517118454,3.4248959759871167,8,11,8,0,0,0,0,49137,722,9910,55513,43,9232,13,True,57550,868050,867970,8,0,3600,0,0.2949333333333333,0.3255,2,1,1
0.9,0,60,54,42,HardRainNoon,Town05,120.0,572.7246465682983,4.772705388069153,4,7,3,1,0,0,0,46975,1167,9011,65401,30,7838,7,True,61218,1038371,1038290,8,0,3600,0,0.32235416666666666,0.3505,0,0,1
0.9,1,60,54,43,HardRainNoon,Town05,120.0,425.15635204315186,3.5429696003595987,6,8,5,1,1,0,1,56281,1299,10626,52101,66,9754,8,True,60113,931880,931792,8,0,3600,0,0.3061375,0.3295,0,0,1
0.9,2,60,54,41,HardRainNoon,Town05,120.0,552.3465919494629,4.602888266245524,5,8,4,1,0,0,0,50955,498,11128,58162,31,10377,8,True,60375,1169677,1169550,8,0,3600,0,0.29734166666666667,0.3365,0,1,1
0.9,3,60,54,42,HardRainNoon,Town05,120.0,458.5105757713318,3.8209214647610983,4,8,3,1,0,0,0,54958,1208,10437,57303,34,9437,8,True,61950,1007899,1007837,6,0,3600,0,0.31198333333333333,0.3355,3,0,0
0.9,4,60,54,42,HardRainNoon,Town05,120.0,404.35103607177734,3.369591967264811,5,8,5,0,0,0,0,55669,527,10381,54167,37,9810,9,True,60258,943790,943728,5,0,3600,0,0.3064875,0.3255,2,0,1
