penetration,seed,n_vehicles,n_cavs,n_walkers,weather,map,duration_s,wall_seconds,wall_to_sim_ratio,collision_count,raw_collision_events,cav_collision_count,hdv_collision_count,vru_collision_count,cav_hit_pedestrian_count,hdv_hit_pedestrian_count,action_none,action_decelerate,action_soft_brake,action_hard_brake,phantom_brakes_suppressed,cooperative_brakes,frozen_vehicle_count,v2v_enabled,v2v_publishes_attempted,v2v_deliveries_emitted,v2v_received_total,dead_cav_count,decode_errors,publishes_emitted,publishes_dropped,cbr_mean,cbr_max,coll_attentive,coll_distracted,coll_aggressive_hostile
0.0,0,60,0,45,ClearNoon,Town01,120.0,61.487629890441895,0.5123969157536824,42,79,0,42,0,0,0,0,0,0,0,0,0,59,True,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,21,14,7
0.0,1,60,0,44,ClearNoon,Town01,120.0,68.46545958518982,0.5705454965432485,37,70,0,37,0,0,0,0,0,0,0,0,0,56,True,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,14,10,13
0.0,2,60,0,47,ClearNoon,Town01,120.0,74.96748495101929,0.624729041258494,41,75,0,41,0,0,0,0,0,0,0,0,0,56,True,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,21,7,13
0.0,3,60,0,44,ClearNoon,Town01,120.0,73.47153782844543,0.6122628152370453,40,73,0,40,0,0,0,0,0,0,0,0,0,57,True,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,16,13,11
0.0,4,60,0,44,ClearNoon,Town01,120.0,74.99666094779968,0.6249721745649973,43,80,0,43,1,0,1,0,0,0,0,0,0,59,True,0,0,0,0,0,3600,0,0.016375000000000008,0.0165,20,11,12
0.5,0,60,30,45,ClearNoon,Town01,120.0,115.36845016479492,0.961403751373291,28,53,15,13,0,0,0,23711,953,3759,14740,31,3088,44,True,21179,101687,101627,18,0,3600,0,0.11890416666666669,0.188,6,8,6
0.5,1,60,30,44,ClearNoon,Town01,120.0,116.61507320404053,0.9717922767003377,26,51,14,12,0,0,0,24257,1068,3400,19606,32,3185,42,True,23998,134225,134175,16,0,3600,0,0.131825,0.1845,12,3,5
0.5,2,60,30,47,ClearNoon,Town01,120.0,110.55369400978088,0.9212807834148407,30,54,17,13,0,0,0,22907,764,3509,14227,19,3203,46,True,20501,86344,86306,19,0,3600,0,0.1126125,0.1935,8,4,5
0.5,3,60,30,44,ClearNoon,Town01,120.0,87.0021550655365,0.7250179588794708,31,55,21,10,1,1,0,24061,1146,2809,4980,23,1787,49,True,15184,57423,57367,22,0,3600,0,0.08730416666666667,0.182,9,5,6
0.5,4,60,30,44,ClearNoon,Town01,120.0,86.78203177452087,0.7231835981210073,30,56,21,9,0,0,0,23863,1603,2794,9199,32,2194,49,True,18445,65779,65737,22,0,3600,0,0.10435416666666668,0.198,7,4,7
0.9,0,60,54,45,ClearNoon,Town01,120.0,234.451593875885,1.9537632822990418,8,14,8,0,0,0,0,47951,776,12302,53411,36,11059,14,True,57223,584986,584916,11,0,3600,0,0.28376250000000003,0.3315,1,0,1
0.9,1,60,54,44,ClearNoon,Town01,120.0,231.24090218544006,1.9270075182120006,8,13,7,1,1,1,0,53973,1107,11657,50477,38,10691,13,True,58611,601072,601001,10,0,3600,0,0.2947458333333334,0.319,2,0,2
0.9,2,60,54,47,ClearNoon,Town01,120.0,318.4661703109741,2.653884752591451,11,18,11,0,0,0,0,46801,1673,8815,52119,48,8115,17,True,54707,639100,638996,14,0,3600,0,0.27823333333333333,0.322,1,0,1
0.9,3,60,54,44,ClearNoon,Town01,120.0,271.44303345680237,2.2620252788066866,7,12,4,3,0,0,0,61841,2078,11556,45103,46,10497,10,True,60291,691252,691216,7,0,3600,0,0.3043833333333333,0.3245,3,0,1
0.9,4,60,54,44,ClearNoon,Town01,120.0,236.56770849227905,1.9713975707689921,10,17,10,0,0,0,0,50354,1088,10510,47620,50,9817,16,True,54792,605998,605879,15,0,3600,0,0.27584166666666665,0.3315,1,2,0
1.0,0,60,60,45,ClearNoon,Town01,120.0,411.8962330818176,3.432468609015147,4,5,4,0,0,0,0,49500,934,13264,71153,33,12113,4,True,67429,837835,837757,7,0,3600,0,0.35401666666666665,0.373,0,0,0
1.0,1,60,60,44,ClearNoon,Town01,120.0,309.57449436187744,2.5797874530156455,4,4,4,0,0,0,0,59607,850,12784,63169,60,12146,4,True,68208,802577,802500,8,0,3600,0,0.3388875,0.379,0,0,0
